"","name","approximate_value","games.x","AVp16","X1","adjusted_yards_per_attempt","assists_on_tackles","completed_passes","extra_points_made","field_goals_made","fumbles_forced","fumbles_recovered","fumbles_recovered_for_touchdown","games.y","height","interceptions","interceptions_returned_for_touchdown","interceptions_thrown","kickoff_return_touchdowns","other_touchdowns","pass_attempts","passes_defended","passing_completion","passing_touchdowns","passing_yards","passing_yards_per_attempt","player_id","plays_from_scrimmage","points","position","punt_return_touchdowns","quarterback_rating","receiving_touchdowns","receiving_yards","receiving_yards_per_reception","receptions","rush_attempts","rush_touchdowns","rush_yards","rush_yards_per_attempt","rushing_and_receiving_touchdowns","sacks","safeties","season","solo_tackles","tackles_for_loss","team_abbreviation","total_tackles","total_touchdowns","two_point_conversions","weight","yards_from_scrimmage","yards_from_scrimmage_per_play","yards_recovered_from_fumble","yards_returned_from_interceptions","yards_returned_per_interception","year","X"
"887","Quinton Culberson",5,36,2.22222222222222,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,"",4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"quinton-culberson-1",NA,12,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"Career",103,10.5,"Mississippi State",180,2,NA,NA,NA,NA,NA,86,21.5,NA,"Career"
"888","Sean Culkin",0,18,0,"Career",NA,0,NA,0,0,0,0,NA,NA,"6-Jun",0,0,NA,0,NA,NA,0,NA,NA,NA,NA,"sean-culkin-1",NA,12,"TE",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",2,0,"Missouri",2,2,NA,245,NA,NA,NA,0,NA,NA,NA
"889","Chris Culliver",13,52,4,"Career",NA,50,NA,NA,NA,NA,NA,NA,NA,"",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chris-culliver-1",5,NA,"DB",NA,NA,NA,NA,NA,NA,5,0,31,6.2,0,4,NA,"Career",106,10,"South Carolina",156,NA,NA,NA,31,6.2,NA,43,14.3,NA,NA
"890","Daunte Culpepper",97,105,14.7809523809524,NA,8.5,NA,721,NA,NA,NA,NA,NA,NA,"",NA,NA,32,NA,NA,1097,NA,65.7,72,9341,8.5,"daunte-culpepper-1",372,114,"QB",NA,153.1,0,21,21,1,371,19,1003,2.7,19,NA,NA,"Career",NA,NA,"UCF",NA,19,NA,NA,1024,2.8,NA,NA,NA,NA,"Career"
"891","Tyrone Culver",7,80,1.4,NA,NA,21,NA,NA,NA,NA,NA,1,NA,"",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tyrone-culver-1",NA,6,"DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"Career",23,2,"Fresno State",44,1,NA,NA,NA,NA,30,72,14.4,NA,"Career"
"892","Jeff Cumberland",8,72,1.77777777777778,"Career",NA,2,NA,NA,NA,NA,NA,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"jeff-cumberland-1",NA,66,"WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",4,0,"Illinois",6,11,NA,NA,NA,NA,NA,0,NA,NA,NA
"893","Benny Cunningham",12,86,2.23255813953488,"2009",NA,NA,NA,NA,NA,NA,NA,NA,11,"",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"benny-cunningham-1",51,18,"RB",NA,NA,1,73,14.6,5,46,2,173,3.8,3,NA,NA,"2009",NA,NA,"Middle Tennessee State",NA,3,NA,NA,246,4.8,NA,0,NA,NA,NA
"894","Jermaine Cunningham",8,38,3.36842105263158,"Career",NA,72,NA,NA,NA,5,0,0,NA,"",1,0,NA,NA,NA,NA,4,NA,NA,NA,NA,"jermaine-cunningham-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,NA,"Career",79,33,"Florida",151,NA,NA,NA,NA,NA,0,18,18,NA,NA
"895","Zach Cunningham",22,46,7.65217391304348,"Career",NA,100,NA,NA,NA,6,7,NA,NA,"3-Jun",0,0,NA,NA,NA,NA,6,NA,NA,NA,NA,"zach-cunningham-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,"Career",156,36,"Vanderbilt",256,NA,NA,234,NA,NA,NA,0,NA,NA,NA
"896","Aaron Curry",18,48,6,"Career",NA,122,NA,NA,NA,NA,NA,NA,NA,"",6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aaron-curry-1",NA,18,"LB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,NA,"Career",209,44.5,"Wake Forest",331,3,NA,NA,NA,NA,NA,278,46.3,NA,NA
"897","Dominique Curry",0,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"898","Donte Curry",13,98,2.12244897959184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
