"","name","approximate_value","games.x","AVp16","X1","adjusted_yards_per_attempt","assists_on_tackles","completed_passes","extra_points_made","field_goals_made","fumbles_forced","fumbles_recovered","fumbles_recovered_for_touchdown","games.y","height","interceptions","interceptions_returned_for_touchdown","interceptions_thrown","kickoff_return_touchdowns","other_touchdowns","pass_attempts","passes_defended","passing_completion","passing_touchdowns","passing_yards","passing_yards_per_attempt","player_id","plays_from_scrimmage","points","position","punt_return_touchdowns","quarterback_rating","receiving_touchdowns","receiving_yards","receiving_yards_per_reception","receptions","rush_attempts","rush_touchdowns","rush_yards","rush_yards_per_attempt","rushing_and_receiving_touchdowns","sacks","safeties","season","solo_tackles","tackles_for_loss","team_abbreviation","total_tackles","total_touchdowns","two_point_conversions","weight","yards_from_scrimmage","yards_from_scrimmage_per_play","yards_recovered_from_fumble","yards_returned_from_interceptions","yards_returned_per_interception","year","X"
"15","Jamaal Anderson",22,77,4.57142857142857,NA,NA,24,NA,NA,NA,2,0,0,NA,"",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,"jamaal-anderson-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,"Career",58,31,"Arkansas",82,NA,NA,NA,NA,NA,0,NA,NA,NA,"Career"
"16","Eli Ankou",2,20,1.6,"Career",NA,42,NA,NA,NA,0,1,NA,NA,"3-Jun",0,0,NA,NA,NA,NA,3,NA,NA,NA,NA,"eli-ankou-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,"Career",49,8,"UCLA",91,NA,NA,305,NA,NA,NA,0,NA,NA,NA
"17","Antwan Applewhite",9,48,3,NA,NA,41,NA,0,0,1,0,1,NA,"",1,0,NA,0,0,NA,2,NA,NA,NA,NA,"antwan-applewhite-1",NA,6,"DL",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,0,"Career",67,17.5,"San Diego State",108,1,0,NA,NA,NA,36,75,75,NA,"Career"
"18","Arik Armstead",21,62,5.41935483870968,"Career",NA,45,NA,NA,NA,1,2,0,NA,"8-Jun",0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,"arik-armstead-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,"Career",42,10.5,"Oregon",87,NA,NA,290,NA,NA,0,0,NA,NA,NA
"19","Baraka Atkins",2,21,1.52380952380952,NA,NA,36,NA,0,0,0,1,1,NA,"",NA,NA,NA,0,NA,NA,7,NA,NA,NA,NA,"baraka-atkins-1",NA,6,"DL",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,"Career",36,17,"Miami (FL)",72,1,0,NA,NA,NA,52,NA,NA,NA,"Career"
"20","Geno Atkins",104,153,10.8758169934641,"Career",NA,44,NA,NA,NA,1,0,0,NA,"",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"geno-atkins-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,"Career",76,33.5,"Georgia",120,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"21","Marvin Austin",2,26,1.23076923076923,"Career",NA,47,NA,0,0,1,1,0,NA,"",1,1,NA,0,0,NA,3,NA,NA,NA,NA,"marvin-austin-1",NA,6,"DL",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0,"Career",59,13.5,"North Carolina",106,1,0,NA,NA,NA,3,23,23,NA,NA
"22","Denico Autry",31,82,6.04878048780488,"Career",NA,31,NA,NA,NA,1,0,NA,NA,"6-Jun",1,0,NA,NA,NA,NA,3,NA,NA,NA,NA,"denico-autry-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,"Career",42,16,"Mississippi State",73,NA,NA,265,NA,NA,NA,27,27,NA,NA
"23","Robert Ayers",32,120,4.26666666666667,"Career",NA,33,NA,NA,NA,0,0,0,NA,"",1,0,NA,NA,NA,NA,3,NA,NA,NA,NA,"robert-ayers-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,"Career",80,31.5,"Tennessee",113,NA,NA,NA,NA,NA,0,8,8,NA,NA
"24","Akin Ayodele",57,143,6.37762237762238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"akin-ayodele-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Purdue",NA,NA,NA,NA,NA,NA,NA,3,1.5,NA,"Career"
"25","Remi Ayodele",18,60,4.8,NA,NA,9,NA,NA,NA,0,0,0,NA,"",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"remi-ayodele-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Career",2,4,"Oklahoma",11,NA,NA,NA,NA,NA,0,NA,NA,NA,"Career"
"26","Jason Babin",53,148,5.72972972972973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"jason-babin-1",NA,6,"DL",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Western Michigan",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"Career"
"27","Jonathan Babineaux",68,185,5.88108108108108,NA,NA,NA,NA,NA,NA,NA,1,0,NA,"",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"jonathan-babineaux-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Iowa",NA,NA,NA,NA,NA,NA,39,10,10,NA,"Career"
"28","Allen Bailey",34,117,4.64957264957265,"Career",NA,49,NA,NA,NA,2,0,0,NA,"",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,"allen-bailey-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,"Career",58,31,"Miami (FL)",107,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"29","Patrick Bailey",6,84,1.14285714285714,"Career",NA,81,NA,0,0,4,0,0,NA,"",1,1,NA,0,0,NA,0,NA,NA,NA,NA,"patrick-bailey-1",NA,6,"DL",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,0,"Career",86,21,"Duke",167,1,0,NA,NA,NA,0,21,21,NA,NA
"30","Brandon Bair",2,21,1.52380952380952,"Career",NA,50,NA,NA,NA,1,1,0,NA,"",NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,"brandon-bair-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"Career",56,25.5,"Oregon",106,NA,NA,NA,NA,NA,24,NA,NA,NA,NA
"31","Ryan Baker",1,17,0.941176470588235,"Career",NA,31,NA,NA,NA,0,0,0,NA,"",2,0,NA,NA,NA,NA,1,NA,NA,NA,NA,"ryan-baker-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,"Career",55,23,"Purdue",86,NA,NA,NA,NA,NA,0,15,7.5,NA,NA
"32","Christian Ballard",3,32,1.5,"Career",NA,93,NA,NA,NA,2,0,0,NA,"",0,0,NA,NA,NA,NA,3,NA,NA,NA,NA,"christian-ballard-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,"Career",60,21.5,"Iowa",153,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"33","Kentwan Balmer",7,46,2.43478260869565,"Career",NA,39,NA,NA,NA,0,0,0,NA,"",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,"kentwan-balmer-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,"Career",53,17,"North Carolina",92,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"34","Tully Banta-Cain",25,113,3.53982300884956,NA,NA,NA,NA,NA,NA,NA,3,0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tully-banta-cain-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"California",NA,NA,NA,NA,NA,NA,19,NA,NA,NA,"Career"
"35","T.J. Barnes",2,21,1.52380952380952,"Career",NA,45,NA,NA,NA,0,0,0,NA,"",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"tj-barnes-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,"Career",30,8.5,"Georgia Tech",75,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"36","Connor Barwin",59,142,6.64788732394366,"Career",NA,22,NA,NA,NA,NA,NA,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"connor-barwin-1",NA,36,"DL",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,"Career",40,14.5,"Cincinnati",62,6,NA,NA,NA,NA,NA,0,NA,NA,NA
"37","Tarell Basham",5,42,1.9047619047619,"Career",NA,77,NA,NA,NA,5,1,NA,NA,"4-Jun",0,0,NA,NA,NA,NA,5,NA,NA,NA,NA,"tarell-basham-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,"Career",75,38.5,"Ohio",152,NA,NA,269,NA,NA,NA,0,NA,NA,NA
"38","Monty Beisel",13,119,1.74789915966387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"monty-beisel-1",3,NA,"DL",NA,NA,NA,NA,NA,NA,3,0,14,4.7,0,NA,NA,"Career",NA,NA,"Kansas State",NA,NA,NA,NA,14,4.7,NA,9,9,NA,"Career"
"39","Michael Bennett",38,109,5.57798165137615,"Career",NA,61,NA,NA,NA,3,0,0,NA,"",1,0,NA,NA,NA,NA,6,NA,NA,NA,NA,"michael-bennett-3",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,"Career",51,19.5,"Texas A&M",112,NA,NA,NA,NA,NA,0,1,1,NA,NA
"40","Ryon Bingham",6,49,1.95918367346939,NA,NA,NA,NA,NA,NA,NA,1,0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ryon-bingham-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Nebraska",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,"Career"
"41","Angelo Blackson",14,69,3.2463768115942,"Career",NA,33,NA,NA,NA,3,0,0,NA,"4-Jun",0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,"angelo-blackson-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,"Career",32,17,"Auburn",65,NA,NA,306,NA,NA,0,0,NA,NA,NA
"42","Ronald Blair",6,47,2.04255319148936,"Career",NA,48,NA,0,0,1,2,NA,NA,"4-Jun",1,1,NA,0,NA,NA,1,NA,NA,NA,NA,"ronald-blair-1",NA,6,"DL",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,NA,"Career",66,32,"Appalachian State",114,1,NA,270,NA,NA,NA,30,30,NA,NA
"43","Joey Bosa",34,51,10.6666666666667,"Career",NA,47,NA,0,0,5,2,1,NA,"6-Jun",1,0,NA,0,0,NA,6,NA,NA,NA,NA,"joey-bosa-1",NA,12,"DL",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,"Career",101,51,"Ohio State",148,2,NA,275,NA,NA,4,28,28,NA,NA
"44","Da'Quan Bowers",7,53,2.11320754716981,"Career",NA,61,NA,NA,NA,0,0,0,NA,"",1,0,NA,NA,NA,NA,3,NA,NA,NA,NA,"daquan-bowers-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.5,NA,"Career",89,44.5,"Clemson",150,NA,NA,NA,NA,NA,0,0,0,NA,NA
"45","Josh Boyd",4,26,2.46153846153846,"Career",NA,78,NA,NA,NA,0,0,0,NA,"2-Jun",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"josh-boyd-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,"Career",47,18,"Mississippi State",125,NA,NA,175,NA,NA,0,NA,NA,NA,NA
"46","Ron Brace",5,39,2.05128205128205,"Career",NA,35,NA,NA,NA,1,0,0,NA,"",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"ron-brace-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"Career",50,22,"Boston College",85,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"47","Alan Branch",51,146,5.58904109589041,NA,NA,23,NA,NA,NA,1,0,0,NA,"",1,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"alan-branch-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,"Career",33,13,"Michigan",56,NA,NA,NA,NA,NA,0,0,0,NA,"Career"
"48","Andre Branch",23,95,3.87368421052632,"Career",NA,90,NA,NA,NA,1,1,0,NA,"",0,0,NA,NA,NA,NA,10,NA,NA,NA,NA,"andre-branch-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5,NA,"Career",89,34,"Clemson",179,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"49","Caleb Brantley",2,20,1.6,"Career",NA,47,NA,NA,NA,3,1,NA,NA,"2-Jun",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"caleb-brantley-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,"Career",33,20.5,"Florida",80,NA,NA,307,NA,NA,NA,0,NA,NA,NA
"50","Tyler Brayton",46,141,5.21985815602837,NA,NA,NA,NA,0,0,NA,1,1,NA,"",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"tyler-brayton-1",NA,6,"DL",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Career",NA,NA,"Colorado",NA,1,0,NA,NA,NA,14,NA,NA,NA,"Career"
"51","Josh Brent",5,40,2,"Career",NA,36,NA,NA,NA,3,0,0,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"josh-brent-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"Career",35,17.5,"Illinois",71,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"52","Michael Brockers",57,123,7.41463414634146,"Career",NA,45,NA,NA,NA,2,0,NA,NA,"",1,0,NA,NA,NA,NA,4,NA,NA,NA,NA,"michael-brockers-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"Career",34,11,"LSU",79,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"53","Alex Brown",71,143,7.94405594405594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"alex-brown-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Florida",NA,NA,NA,NA,NA,NA,NA,24,8,NA,"Career"
"54","Courtney Brown",2,17,1.88235294117647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"courtney-brown-1",NA,6,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Penn State",NA,1,NA,NA,NA,NA,NA,25,25,NA,"Career"
"55","Everette Brown",6,44,2.18181818181818,"Career",NA,28,NA,NA,NA,5,1,0,NA,"",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,"everette-brown-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,"Career",71,46.5,"Florida State",99,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
"56","Fadol Brown",1,16,1,"Career",NA,3,NA,NA,NA,0,0,0,NA,"",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"fadol-brown-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,"Career",5,2,"Florida International",8,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
