"","name","approximate_value","games.x","AVp16","X1","adjusted_yards_per_attempt","assists_on_tackles","completed_passes","extra_points_made","field_goals_made","fumbles_forced","fumbles_recovered","fumbles_recovered_for_touchdown","games.y","height","interceptions","interceptions_returned_for_touchdown","interceptions_thrown","kickoff_return_touchdowns","other_touchdowns","pass_attempts","passes_defended","passing_completion","passing_touchdowns","passing_yards","passing_yards_per_attempt","player_id","plays_from_scrimmage","points","position","punt_return_touchdowns","quarterback_rating","receiving_touchdowns","receiving_yards","receiving_yards_per_reception","receptions","rush_attempts","rush_touchdowns","rush_yards","rush_yards_per_attempt","rushing_and_receiving_touchdowns","sacks","safeties","season","solo_tackles","tackles_for_loss","team_abbreviation","total_tackles","total_touchdowns","two_point_conversions","weight","yards_from_scrimmage","yards_from_scrimmage_per_play","yards_recovered_from_fumble","yards_returned_from_interceptions","yards_returned_per_interception","year","X"
"15","Clint Boling",51,111,7.35135135135135,"Career",NA,0,NA,NA,NA,0,0,0,NA,"",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"clint-boling-1",NA,NA,"OL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",2,0,"Georgia",2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"16","Mike Brisiel",40,80,8,NA,NA,0,NA,NA,NA,0,0,0,NA,"",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"mike-brisiel-1",NA,NA,"OL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"Colorado State",1,NA,NA,NA,NA,NA,0,NA,NA,NA,"Career"
"17","Eben Britton",18,60,4.8,"Career",NA,0,NA,NA,NA,0,0,0,NA,"",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"eben-britton-1",NA,NA,"OL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"Arizona",1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"18","Justin Britt",43,87,7.90804597701149,"Career",NA,1,NA,NA,NA,0,0,0,NA,"6-Jun",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"justin-britt-2",1,NA,"OL",NA,NA,0,0,NA,0,1,0,7,7,0,0,NA,"Career",1,0,"Missouri",2,NA,NA,315,7,7,0,0,NA,NA,NA
"19","Brandon Brooks",51,112,7.28571428571429,"Career",NA,2,NA,NA,NA,0,0,NA,NA,"",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"brandon-brooks-1",NA,NA,"OL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",2,0,"Miami (OH)",4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"20","Duane Brown",105,170,9.88235294117647,"Career",NA,2,NA,0,0,0,0,0,NA,"",0,0,NA,0,0,NA,0,NA,NA,NA,NA,"duane-brown-1",NA,6,"OL",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Career",4,0,"Virginia Tech",6,1,0,NA,NA,NA,0,0,NA,NA,NA
"21","Jamon Brown",22,60,5.86666666666667,"Career",NA,1,NA,NA,NA,0,0,0,NA,"6-Jun",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"jamon-brown-1",NA,NA,"OL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",0,0,"Louisville",1,NA,NA,326,NA,NA,0,NA,NA,NA,NA
"22","Jeff Byers",5,22,3.63636363636364,"Career",NA,0,NA,NA,NA,0,0,0,NA,"",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"jeff-byers-1",NA,NA,"OL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"USC",1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"23","James Carpenter",50,114,7.01754385964912,"Career",NA,0,NA,NA,NA,0,0,0,NA,"",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"james-carpenter-1",NA,NA,"OL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"Alabama",1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"24","Anthony Castonzo",67,132,8.12121212121212,"Career",NA,1,NA,NA,NA,0,0,0,NA,"",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"anthony-castonzo-1",NA,NA,"OL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",2,0,"Boston College",3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"25","Gosder Cherilus",60,132,7.27272727272727,"Career",NA,0,NA,NA,NA,0,0,0,NA,"",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"gosder-cherilus-1",NA,NA,"OL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",3,0,"Boston College",3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"26","Ryan Clady",73,107,10.9158878504673,"2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ryan-clady-1",NA,NA,"OL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007",NA,NA,"Boise State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
