name,approximate_value,games.x,AVp16,X1,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games.y,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year,X
Logan Thomas,3,42,1.142857143,Career,6.6,1,693,0,0,0,0,NA,NA,6-Jun,0,0,39,0,NA,1248,0,55.5,52,9003,7.2,logan-thomas-1,497,150,QB,0,123.6,1,11,5.5,2,495,24,1359,2.7,25,0,NA,Career,4,0,Virginia Tech,5,25,NA,254,1370,2.8,NA,0,NA,NA,NA
Justin Tuggle,8,42,3.047619048,Career,4.7,NA,13,NA,NA,NA,NA,NA,NA,,NA,NA,3,NA,NA,37,NA,35.1,4,229,6.2,justin-tuggle-1,11,NA,QB,NA,106.6,NA,NA,NA,NA,11,0,35,3.2,0,NA,NA,Career,NA,NA,Boston College,NA,NA,NA,NA,35,3.2,NA,NA,NA,NA,NA
Michael Vick,113,143,12.64335664,NA,9.4,NA,192,NA,NA,NA,NA,NA,NA,,NA,NA,11,NA,NA,343,NA,56,21,3299,9.6,michael-vick-1,235,102,QB,NA,150.6,NA,NA,NA,NA,235,17,1299,5.5,17,NA,NA,Career,NA,NA,Virginia Tech,NA,17,NA,NA,1299,5.5,NA,NA,NA,NA,Career
Billy Volek,12,39,4.923076923,NA,7.5,NA,564,NA,NA,NA,NA,NA,NA,,NA,NA,12,NA,NA,934,NA,60.4,57,6385,6.8,billy-volek-1,177,60,QB,NA,135.4,1,30,15,2,175,9,-178,-1,10,NA,NA,Career,NA,NA,Fresno State,NA,10,NA,NA,-148,-0.8,NA,NA,NA,NA,Career
Seneca Wallace,16,64,4,NA,6.5,NA,411,NA,NA,NA,NA,NA,NA,,NA,NA,27,0,NA,712,NA,57.7,26,5289,7.4,seneca-wallace-1,238,90,QB,NA,124.6,0,1,1,1,237,15,912,3.8,15,NA,NA,Career,NA,NA,Iowa State,NA,15,NA,NA,913,3.8,NA,NA,NA,NA,Career
Deshaun Watson,39,38,16.42105263,Career,8.7,1,814,0,0,0,0,NA,NA,3-Jun,0,0,32,0,NA,1207,0,67.4,90,10168,8.4,deshaun-watson-1,435,156,QB,0,157.5,0,0,NA,0,435,26,1934,4.4,26,1,NA,Career,5,2,Clemson,6,26,NA,215,1934,4.4,NA,0,NA,NA,NA
Joe Webb,4,102,0.62745098,2006,8.7,NA,33,0,0,NA,0,0,2,,0,0,0,0,0,51,NA,64.7,1,426,8.4,joe-webb-2,24,6,QB,0,141.3,0,0,NA,0,24,1,38,1.6,1,NA,0,2006,NA,NA,UAB,NA,1,0,NA,38,1.6,0,0,NA,NA,NA
Brandon Weeden,15,35,6.857142857,Career,8.7,1,767,NA,NA,NA,NA,NA,NA,,0,0,27,NA,NA,1103,NA,69.5,75,9260,8.4,brandon-weeden-1,39,6,QB,NA,157.6,NA,NA,NA,NA,39,1,-150,-3.8,1,0,NA,Career,1,0,Oklahoma State,2,1,NA,NA,-150,-3.8,NA,0,NA,NA,NA
Charlie Whitehurst,7,26,4.307692308,NA,6.3,NA,817,NA,NA,NA,NA,NA,NA,,NA,NA,46,NA,NA,1368,NA,59.7,49,9665,7.1,charlie-whitehurst-1,267,60,QB,NA,124.2,0,2,2,1,266,10,98,0.4,10,NA,NA,Career,NA,NA,Clemson,NA,10,NA,NA,100,0.4,NA,NA,NA,NA,Career
Damian Williams,10,57,2.807017544,Career,5.8,1,262,0,0,0,0,NA,NA,1-Jun,0,0,11,0,NA,450,0,58.2,17,2767,6.1,damian-williams-3,187,42,QB,0,117.5,0,0,NA,0,187,7,387,2.1,7,0,NA,Career,1,0,Overall,2,7,NA,215,387,2.1,NA,0,NA,NA,NA
Jason Williams,4,60,1.066666667,Career,-13.7,NA,1,NA,NA,NA,NA,NA,NA,,NA,NA,1,NA,NA,3,NA,33.3,0,4,1.3,jason-williams-2,4,6,QB,NA,-22.1,NA,NA,NA,NA,4,1,23,5.8,1,NA,NA,Career,NA,NA,Eastern Michigan,NA,1,NA,NA,23,5.8,NA,NA,NA,NA,NA
Chris Wilson,7,80,1.4,Career,NA,8,NA,NA,NA,0,0,NA,NA,5-Jun,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,chris-wilson-1,53,NA,QB,NA,NA,0,46,9.2,5,48,0,227,4.7,0,0,NA,Career,0,0,Overall,8,NA,NA,250,273,5.2,NA,0,NA,NA,NA
Russell Wilson,129,128,16.125,Career,8.4,4,907,NA,NA,0,0,NA,NA,,0,0,30,NA,NA,1489,0,60.9,109,11720,7.9,russell-wilson-1,445,144,QB,NA,147.2,1,60,15,4,441,23,1421,3.2,24,0,NA,Career,4,0,Overall,8,24,NA,NA,1481,3.3,NA,0,NA,NA,NA
Jameis Winston,59,72,13.11111111,Career,9.4,0,562,0,0,1,0,NA,NA,4-Jun,0,0,28,0,NA,851,0,66,65,7964,9.4,jameis-winston-1,145,42,QB,0,163.3,0,0,NA,0,145,7,284,2,7,0,NA,Career,1,0,Florida State,1,7,NA,230,284,2,NA,0,NA,NA,NA
T.J. Yates,6,22,4.363636364,Career,6.6,0,795,NA,NA,NA,NA,NA,NA,,0,0,46,NA,NA,1277,NA,62.3,58,9377,7.3,tj-yates-1,220,42,QB,NA,131.7,NA,NA,NA,NA,220,7,-333,-1.5,7,0,NA,Career,2,0,North Carolina,2,7,NA,NA,-333,-1.5,NA,0,NA,NA,NA
Vince Young,36,60,9.6,NA,7.9,0,444,NA,NA,NA,NA,NA,NA,,0,0,28,NA,NA,718,NA,61.8,44,6040,8.4,vince-young-1,458,222,QB,NA,144.9,0,48,48,1,457,37,3127,6.8,37,0,NA,Career,1,0,Texas,1,37,NA,NA,3175,6.9,NA,0,NA,NA,Career
