"","name","approximate_value","games.x","AVp16","X1","adjusted_yards_per_attempt","assists_on_tackles","completed_passes","extra_points_made","field_goals_made","fumbles_forced","fumbles_recovered","fumbles_recovered_for_touchdown","games.y","height","interceptions","interceptions_returned_for_touchdown","interceptions_thrown","kickoff_return_touchdowns","other_touchdowns","pass_attempts","passes_defended","passing_completion","passing_touchdowns","passing_yards","passing_yards_per_attempt","player_id","plays_from_scrimmage","points","position","punt_return_touchdowns","quarterback_rating","receiving_touchdowns","receiving_yards","receiving_yards_per_reception","receptions","rush_attempts","rush_touchdowns","rush_yards","rush_yards_per_attempt","rushing_and_receiving_touchdowns","sacks","safeties","season","solo_tackles","tackles_for_loss","team_abbreviation","total_tackles","total_touchdowns","two_point_conversions","weight","yards_from_scrimmage","yards_from_scrimmage_per_play","yards_recovered_from_fumble","yards_returned_from_interceptions","yards_returned_per_interception","year","X"
"18","T.J. Green",4,33,1.93939393939394,"Career",NA,34,NA,NA,NA,2,0,NA,NA,"3-Jun",1,0,NA,NA,NA,NA,3,NA,NA,NA,NA,"tj-green-1",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Career",84,5.5,"Clemson",118,NA,NA,205,NA,NA,NA,-3,-3,NA,NA
"19","P.J. Hall",8,30,4.26666666666667,"Career",NA,37,NA,0,0,2,1,NA,NA,"11-May",3,1,NA,0,NA,NA,20,NA,NA,NA,NA,"pj-hall-1",NA,6,"S",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Career",102,6.5,"Tulane",139,1,NA,190,NA,NA,NA,65,21.7,NA,NA
"20","Josh Harvey-Clemons",2,35,0.914285714285714,"Career",NA,99,NA,NA,NA,3,3,0,NA,"4-Jun",4,0,NA,NA,NA,NA,11,NA,NA,NA,NA,"josh-harvey-clemons-1",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"Career",126,11.5,"Overall",225,NA,NA,217,NA,NA,0,25,6.3,NA,NA
"21","Delano Hill",5,40,2,"Career",NA,33,NA,0,0,1,1,NA,NA,"1-Jun",3,1,NA,0,NA,NA,5,NA,NA,NA,NA,"delano-hill-1",NA,6,"S",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",84,7,"Michigan",117,1,NA,216,NA,NA,NA,36,12,NA,NA
"22","Malik Hooker",13,34,6.11764705882353,"Career",NA,35,NA,0,0,0,0,NA,NA,"2-Jun",7,3,NA,0,NA,NA,4,NA,NA,NA,NA,"malik-hooker-1",NA,18,"S",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,"Career",49,5.5,"Ohio State",84,3,NA,205,NA,NA,NA,181,25.9,NA,NA
"23","Natrell Jamerson",1,17,0.941176470588235,"Career",NA,27,NA,0,0,0,0,NA,NA,"Jun-00",2,1,NA,1,NA,NA,14,NA,NA,NA,NA,"natrell-jamerson-1",1,12,"S",0,NA,0,0,NA,0,1,0,23,23,0,1.5,NA,"Career",61,5,"Wisconsin",88,2,NA,198,23,23,NA,40,20,NA,NA
"24","Isaiah Johnson",3,19,2.52631578947368,"Career",NA,103,NA,0,0,3,6,NA,NA,"8-May",6,2,NA,0,NA,NA,9,NA,NA,NA,NA,"isaiah-johnson-1",NA,12,"S",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"Career",180,13.5,"Georgia Tech",283,2,NA,168,NA,NA,NA,93,15.5,NA,NA
"25","D.J. Jones",9,30,4.8,"Career",NA,0,NA,NA,NA,0,0,NA,NA,"4-Jun",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"dj-jones-3",86,NA,"S",NA,NA,0,27,9,3,83,0,370,4.5,0,0,NA,"Career",3,0,"Akron",3,NA,NA,215,397,4.6,NA,0,NA,NA,NA
"26","Greg Jones",10,131,1.22137404580153,"Career",NA,0,NA,NA,NA,0,0,NA,NA,"2-Jun",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"greg-jones-11",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"Virginia Tech",1,NA,NA,205,NA,NA,NA,0,NA,NA,NA
"27","Karl Joseph",15,49,4.89795918367347,"Career",NA,73,NA,NA,NA,3,5,NA,NA,"11-May",9,0,NA,NA,NA,NA,7,NA,NA,NA,NA,"karl-joseph-1",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"Career",201,16,"West Virginia",274,NA,NA,197,NA,NA,NA,40,4.4,NA,NA
"28","Jayron Kearse",5,62,1.29032258064516,"Career",NA,48,NA,NA,NA,2,2,NA,NA,"5-Jun",7,0,NA,NA,NA,NA,11,NA,NA,NA,NA,"jayron-kearse-1",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"Career",116,11.5,"Clemson",164,NA,NA,220,NA,NA,NA,83,11.9,NA,NA
"29","Derrick Kindred",8,42,3.04761904761905,"Career",NA,61,NA,0,0,3,3,0,NA,"10-May",8,2,NA,0,NA,NA,15,NA,NA,NA,NA,"derrick-kindred-1",NA,12,"S",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Career",168,12,"Texas Christian",229,2,0,210,NA,NA,0,140,17.5,NA,NA
"30","Akeem King",3,34,1.41176470588235,"Career",NA,35,NA,NA,NA,0,0,NA,NA,"3-Jun",0,0,NA,NA,NA,NA,4,NA,NA,NA,NA,"akeem-king-1",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",51,1.5,"San Jose State",86,NA,NA,212,NA,NA,NA,0,NA,NA,NA
"31","Dallin Leavitt",1,17,0.941176470588235,"Career",NA,82,NA,NA,NA,0,0,NA,NA,"10-May",7,0,NA,NA,NA,NA,8,NA,NA,NA,NA,"dallin-leavitt-1",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,"Career",124,6,"Overall",206,NA,NA,205,NA,NA,NA,53,7.6,NA,NA
"32","Craig Loston",1,19,0.842105263157895,"Career",NA,64,NA,0,0,1,0,NA,NA,"2-Jun",7,1,NA,0,NA,NA,6,NA,NA,NA,NA,"craig-loston-1",NA,6,"S",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"Career",84,8,"LSU",148,1,0,209,NA,NA,NA,152,21.7,NA,NA
"33","Shalom Luani",2,31,1.03225806451613,"Career",NA,43,NA,0,0,3,1,NA,NA,"Jun-00",8,1,NA,0,NA,NA,11,NA,NA,NA,NA,"shalom-luani-1",NA,6,"S",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"Career",114,11.5,"Washington State",157,1,NA,205,NA,NA,NA,199,24.9,NA,NA
"34","Jordan Lucas",4,49,1.30612244897959,"Career",NA,62,NA,NA,NA,3,0,0,NA,"Jun-00",3,0,NA,NA,NA,NA,25,NA,NA,NA,NA,"jordan-lucas-1",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,"Career",119,11,"Penn State",181,NA,NA,198,NA,NA,0,37,12.3,NA,NA
"35","Tanner McEvoy",2,31,1.03225806451613,"Career",4.8,29,65,0,0,0,1,NA,NA,"6-Jun",7,0,6,0,NA,112,10,58,5,709,6.3,"tanner-mcevoy-1",92,48,"S",0,115.2,0,109,10.9,10,82,8,706,8.6,8,1,NA,"Career",45,3,"Wisconsin",74,8,NA,229,815,8.9,NA,103,14.7,NA,NA
"36","Jalen Mills",16,48,5.33333333333333,"Career",NA,82,NA,NA,NA,0,1,NA,NA,"Jun-00",6,0,NA,NA,NA,NA,11,NA,NA,NA,NA,"jalen-mills-1",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,"Career",134,8,"LSU",216,NA,NA,196,NA,NA,NA,12,2,NA,NA
"37","Corey Moore",6,46,2.08695652173913,"Career",NA,23,NA,NA,NA,0,0,0,NA,"2-Jun",2,0,NA,NA,NA,NA,3,NA,NA,NA,NA,"corey-moore-2",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Career",53,6,"Georgia",76,NA,NA,206,NA,NA,0,1,0.5,NA,NA
"38","Montae Nicholson",11,35,5.02857142857143,"Career",NA,91,NA,NA,NA,1,3,NA,NA,"2-Jun",4,0,NA,NA,NA,NA,4,NA,NA,NA,NA,"montae-nicholson-1",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",109,4.5,"Michigan State",200,NA,NA,212,NA,NA,NA,70,17.5,NA,NA
"39","Tyvis Powell",1,18,0.888888888888889,"Career",NA,83,NA,NA,NA,1,1,NA,NA,"3-Jun",8,0,NA,NA,NA,NA,9,NA,NA,NA,NA,"tyvis-powell-1",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",112,3.5,"Ohio State",195,NA,NA,210,NA,NA,NA,78,9.8,NA,NA
"40","Calvin Pryor",15,46,5.21739130434783,"Career",NA,80,NA,NA,NA,2,2,NA,NA,"2-Jun",7,0,NA,NA,NA,NA,9,NA,NA,NA,NA,"calvin-pryor-1",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"Career",135,8.5,"Louisville",215,NA,NA,208,NA,NA,NA,61,8.7,NA,NA
"41","J.R. Reed",3,43,1.11627906976744,"Career",NA,3,NA,NA,NA,0,0,NA,NA,"1-Jun",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,"jr-reed-2",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",2,0,"Tulsa",5,NA,NA,185,NA,NA,NA,0,NA,NA,NA
"42","Justin Reid",11,31,5.67741935483871,"Career",NA,66,NA,NA,NA,0,1,NA,NA,"1-Jun",6,0,NA,NA,NA,NA,14,NA,NA,NA,NA,"justin-reid-1",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Career",104,10.5,"Stanford",170,NA,NA,204,NA,NA,NA,2,0.3,NA,NA
"43","Ed Reynolds",3,16,3,"Career",NA,50,NA,0,0,0,0,0,NA,"2-Jun",7,3,NA,0,0,NA,4,NA,NA,NA,NA,"ed-reynolds-1",NA,18,"S",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Career",85,1,"Stanford",135,3,0,206,NA,NA,0,301,43,NA,NA
"44","Derron Smith",3,38,1.26315789473684,"Career",0,83,0,0,0,1,2,NA,NA,"11-May",15,2,0,0,NA,1,15,0,0,0,0,"derron-smith-1",NA,12,"S",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,"Career",215,13,"Fresno State",298,2,0,197,NA,NA,NA,296,19.7,NA,NA
"45","Darian Thompson",9,43,3.34883720930233,"Career",NA,78,NA,0,0,2,0,NA,NA,"2-Jun",19,1,NA,0,NA,NA,6,NA,NA,NA,NA,"darian-thompson-1",NA,6,"S",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Career",136,15,"Boise State",214,1,NA,212,NA,NA,NA,118,6.2,NA,NA
"46","Jimmie Ward",16,64,4,"Career",NA,129,NA,0,0,3,1,NA,NA,"11-May",11,1,NA,0,NA,NA,14,NA,NA,NA,NA,"jimmie-ward-1",NA,12,"S",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"Career",189,6,"Northern Illinois",318,2,NA,192,NA,NA,NA,142,12.9,NA,NA
"47","Kyzir White",6,19,5.05263157894737,"Career",NA,39,NA,NA,NA,4,2,NA,NA,"2-Jun",3,0,NA,NA,NA,NA,9,NA,NA,NA,NA,"kyzir-white-1",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,"Career",113,14.5,"West Virginia",152,NA,NA,218,NA,NA,NA,2,0.7,NA,NA
"48","Jarrod Wilson",9,63,2.28571428571429,"Career",NA,72,NA,NA,NA,1,0,0,NA,"2-Jun",4,0,NA,NA,NA,NA,7,NA,NA,NA,NA,"jarrod-wilson-1",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Career",92,4,"Michigan",164,NA,NA,210,NA,NA,0,1,0.3,NA,NA
"49","Xavier Woods",14,45,4.97777777777778,"Career",NA,91,NA,0,0,6,0,1,NA,"11-May",14,2,NA,0,0,NA,18,NA,NA,NA,NA,"xavier-woods-1",NA,18,"S",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,"Career",181,20.5,"Louisiana Tech",272,3,NA,219,NA,NA,NA,344,24.6,NA,NA
