2,Ameer Abdullah,13,58,3.586206897,Career,0,0,0,0,0,0,0,NA,NA,0,0,0,1,NA,1,0,0,0,0,0,886,288,RB,1,0,7,690,9.5,73,813,39,4588,5.6,46,0,NA,Career,1,0,Nebraska,1,48,NA,195,5278,6,NA,0,NA,NA,NA
19,Josh Adams,3,17,2.823529412,Career,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,630,138,RB,NA,NA,1,611,7.2,85,545,22,2212,4.1,23,0,NA,Career,2,0,Wake Forest,2,23,NA,212,2823,4.5,NA,0,NA,NA,NA
28,Joseph Addai,54,78,11.07692308,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,556,144,RB,NA,NA,6,641,9.7,66,490,18,2576,5.3,24,0,NA,Career,0,0,LSU,1,24,NA,NA,3217,5.8,NA,0,NA,NA,Career
44,Jay Ajayi,20,45,7.111111111,Career,NA,0,NA,0,0,0,0,NA,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,751,330,RB,0,NA,5,771,10.6,73,678,50,3796,5.6,55,0,NA,Career,2,1,Boise State,2,55,NA,216,4567,6.1,NA,0,NA,NA,NA
62,Shaun Alexander,79,123,10.27642276,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,2,NA,0,0,0,0,789,300,RB,NA,0,8,798,12.9,62,727,41,3565,4.9,49,NA,NA,Career,NA,NA,Alabama,NA,50,NA,NA,4363,5.5,NA,NA,NA,NA,Career
67,Anthony Allen,1,21,0.761904762,Career,NA,4,NA,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,NA,NA,579,228,RB,0,NA,5,401,12.2,33,546,33,3036,5.6,38,0,0,Career,5,0,Overall,9,38,0,NA,3437,5.9,0,0,NA,NA,NA
69,Armando Allen,1,17,0.941176471,Career,12.7,1,3,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,3,NA,100,1,18,6,588,72,RB,0,260.4,3,833,7,119,469,8,2144,4.6,11,0,NA,Career,2,0,Notre Dame,3,12,NA,NA,2977,5.1,NA,0,NA,NA,NA
76,Javorius Allen,14,64,3.5,Career,NA,2,NA,0,0,0,0,NA,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,480,162,RB,0,NA,2,710,11.3,63,417,25,2306,5.5,27,0,NA,Career,0,0,USC,2,27,NA,220,3016,6.3,NA,0,NA,NA,NA
101,C.J. Anderson,28,71,6.309859155,Career,0,1,0,NA,NA,0,0,NA,NA,0,0,0,0,NA,1,0,0,0,0,0,220,84,RB,NA,0,2,350,15.9,22,198,12,1135,5.7,14,0,NA,Career,0,0,California,1,14,NA,NA,1485,6.8,NA,0,NA,NA,NA
106,Deon Anderson,1,39,0.41025641,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,162,24,RB,NA,NA,3,394,8.2,48,114,1,420,3.7,4,0,NA,Career,5,0,Connecticut,9,4,NA,NA,814,5,NA,0,NA,NA,Career
