"","name","approximate_value","games.x","AVp16","X1","adjusted_yards_per_attempt","assists_on_tackles","completed_passes","extra_points_made","field_goals_made","fumbles_forced","fumbles_recovered","fumbles_recovered_for_touchdown","games.y","height","interceptions","interceptions_returned_for_touchdown","interceptions_thrown","kickoff_return_touchdowns","other_touchdowns","pass_attempts","passes_defended","passing_completion","passing_touchdowns","passing_yards","passing_yards_per_attempt","player_id","plays_from_scrimmage","points","position","punt_return_touchdowns","quarterback_rating","receiving_touchdowns","receiving_yards","receiving_yards_per_reception","receptions","rush_attempts","rush_touchdowns","rush_yards","rush_yards_per_attempt","rushing_and_receiving_touchdowns","sacks","safeties","season","solo_tackles","tackles_for_loss","team_abbreviation","total_tackles","total_touchdowns","two_point_conversions","weight","yards_from_scrimmage","yards_from_scrimmage_per_play","yards_recovered_from_fumble","yards_returned_from_interceptions","yards_returned_per_interception","year","X"
"1","Michael Burton",0,65,0,"Career",-2,8,1,0,0,0,0,NA,NA,"Jun-00",0,0,0,0,NA,1,0,100,0,-2,-2,"michael-burton-1",NA,18,"FB",0,83.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",5,0,"Rutgers",13,3,NA,230,NA,NA,NA,0,NA,NA,NA
"2","Ryan Hewitt",2,72,0.444444444444444,"Career",NA,0,NA,0,0,0,0,NA,NA,"4-Jun",0,0,NA,0,NA,NA,0,NA,NA,NA,NA,"ryan-hewitt-1",NA,42,"FB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"Stanford",1,7,NA,246,NA,NA,NA,0,NA,NA,NA
"3","Andy Janovich",2,50,0.64,"Career",NA,2,NA,0,0,0,0,NA,NA,"1-Jun",0,0,NA,0,NA,NA,0,NA,NA,NA,NA,"andy-janovich-1",50,18,"FB",0,NA,0,87,17.4,5,45,3,271,6,3,0,NA,"Career",11,0,"Nebraska",13,3,NA,230,358,7.2,NA,0,NA,NA,NA
"4","Jay Prosch",0,63,0,"Career",NA,7,NA,0,0,0,0,NA,NA,"Jun-00",0,0,NA,0,NA,NA,0,NA,NA,NA,NA,"jay-prosch-1",25,18,"FB",0,NA,1,115,10.5,11,14,2,47,3.4,3,0,NA,"Career",5,0,"Overall",12,3,NA,258,162,6.5,NA,0,NA,NA,NA
"5","Aaron Ripkowski",2,47,0.680851063829787,"Career",NA,NA,NA,0,0,NA,NA,NA,NA,"1-Jun",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"aaron-ripkowski-1",NA,30,"FB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Oklahoma",NA,5,NA,254,NA,NA,NA,NA,NA,NA,NA
"6","Derek Watt",1,64,0.25,"Career",NA,6,NA,0,0,0,0,NA,NA,"2-Jun",0,0,NA,0,NA,NA,1,NA,NA,NA,NA,"derek-watt-1",NA,6,"FB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",11,0,"Wisconsin",17,1,NA,232,NA,NA,NA,0,NA,NA,NA
