"","name","approximate_value","games.x","AVp16","X1","adjusted_yards_per_attempt","assists_on_tackles","completed_passes","extra_points_made","field_goals_made","fumbles_forced","fumbles_recovered","fumbles_recovered_for_touchdown","games.y","height","interceptions","interceptions_returned_for_touchdown","interceptions_thrown","kickoff_return_touchdowns","other_touchdowns","pass_attempts","passes_defended","passing_completion","passing_touchdowns","passing_yards","passing_yards_per_attempt","player_id","plays_from_scrimmage","points","position","punt_return_touchdowns","quarterback_rating","receiving_touchdowns","receiving_yards","receiving_yards_per_reception","receptions","rush_attempts","rush_touchdowns","rush_yards","rush_yards_per_attempt","rushing_and_receiving_touchdowns","sacks","safeties","season","solo_tackles","tackles_for_loss","team_abbreviation","total_tackles","total_touchdowns","two_point_conversions","weight","yards_from_scrimmage","yards_from_scrimmage_per_play","yards_recovered_from_fumble","yards_returned_from_interceptions","yards_returned_per_interception","year","X"
"1","Luke Bowanko",8,46,2.78260869565217,"Career",NA,1,NA,NA,NA,0,0,NA,NA,"6-Jun",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"luke-bowanko-1",NA,NA,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",0,0,"Virginia",1,NA,NA,300,NA,NA,NA,0,NA,NA,NA
"2","A.J. Cann",31,76,6.52631578947368,"Career",NA,0,NA,NA,NA,0,0,0,NA,"4-Jun",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"aj-cann-1",NA,NA,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",2,0,"South Carolina",2,NA,NA,311,NA,NA,0,0,NA,NA,NA
"3","Lucas Patrick",5,40,2,"Career",NA,0,NA,NA,NA,0,0,NA,NA,"4-Jun",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"lucas-patrick-1",NA,NA,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"Duke",1,NA,NA,305,NA,NA,NA,0,NA,NA,NA
"4","Chase Roullier",15,43,5.58139534883721,"Career",NA,0,NA,NA,NA,0,0,NA,NA,"4-Jun",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"chase-roullier-1",NA,NA,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",4,0,"Wyoming",4,NA,NA,312,NA,NA,NA,0,NA,NA,NA
"5","Tyler Shatley",10,76,2.10526315789474,"Career",NA,11,NA,NA,NA,0,1,0,NA,"3-Jun",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,"tyler-shatley-1",NA,NA,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Career",17,1.5,"Clemson",28,NA,NA,295,NA,NA,0,0,NA,NA,NA
"6","Wyatt Teller",6,23,4.17391304347826,"Career",NA,0,NA,NA,NA,0,0,NA,NA,"5-Jun",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"wyatt-teller-1",NA,NA,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"Virginia Tech",1,NA,NA,315,NA,NA,NA,0,NA,NA,NA
"7","Joe Thuney",38,64,9.5,"Career",NA,0,NA,NA,NA,0,0,NA,NA,"5-Jun",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"joe-thuney-1",NA,NA,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",2,0,"North Carolina State",2,NA,NA,295,NA,NA,NA,0,NA,NA,NA
