"","name","approximate_value","games.x","AVp16","X1","adjusted_yards_per_attempt","assists_on_tackles","completed_passes","extra_points_made","field_goals_made","fumbles_forced","fumbles_recovered","fumbles_recovered_for_touchdown","games.y","height","interceptions","interceptions_returned_for_touchdown","interceptions_thrown","kickoff_return_touchdowns","other_touchdowns","pass_attempts","passes_defended","passing_completion","passing_touchdowns","passing_yards","passing_yards_per_attempt","player_id","plays_from_scrimmage","points","position","punt_return_touchdowns","quarterback_rating","receiving_touchdowns","receiving_yards","receiving_yards_per_reception","receptions","rush_attempts","rush_touchdowns","rush_yards","rush_yards_per_attempt","rushing_and_receiving_touchdowns","sacks","safeties","season","solo_tackles","tackles_for_loss","team_abbreviation","total_tackles","total_touchdowns","two_point_conversions","weight","yards_from_scrimmage","yards_from_scrimmage_per_play","yards_recovered_from_fumble","yards_returned_from_interceptions","yards_returned_per_interception","year","X"
"15","Jonathon Amaya",3,38,1.26315789473684,"Career",NA,95,NA,NA,NA,NA,NA,NA,NA,"",7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"jonathon-amaya-1",NA,6,"DB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Career",140,9.5,"Nevada",235,1,NA,NA,NA,NA,NA,128,18.3,NA,NA
"16","David Amerson",23,74,4.97297297297297,"Career",NA,51,NA,NA,NA,NA,NA,NA,NA,"",18,3,NA,0,NA,NA,NA,NA,NA,NA,NA,"david-amerson-1",NA,18,"DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",126,3,"North Carolina State",177,3,NA,NA,NA,NA,NA,287,15.9,NA,NA
"17","Prince Amukamara",40,113,5.66371681415929,"Career",NA,61,NA,NA,NA,2,0,0,NA,"",5,0,NA,NA,NA,NA,15,NA,NA,NA,NA,"prince-amukamara-1",NA,NA,"DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,"Career",100,6,"Nebraska",161,NA,NA,NA,NA,NA,0,63,12.6,NA,NA
"18","Javier Arenas",8,69,1.85507246376812,"Career",NA,50,NA,NA,NA,NA,NA,NA,NA,"",6,1,NA,0,NA,NA,NA,NA,NA,NA,NA,"javier-arenas-1",NA,48,"DB",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,"Career",104,17.5,"Alabama",154,8,NA,NA,NA,NA,NA,88,14.7,NA,NA
"19","Cornell Armstrong",1,20,0.8,"Career",NA,36,NA,0,0,0,1,NA,NA,"11-May",5,1,NA,0,NA,NA,29,NA,NA,NA,NA,"cornell-armstrong-1",NA,6,"DB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",110,9.5,"Southern Mississippi",146,1,NA,180,NA,NA,NA,45,9,NA,NA
"20","Larry Asante",2,39,0.82051282051282,"Career",NA,98,NA,NA,NA,NA,NA,NA,NA,"",3,1,NA,0,NA,NA,NA,NA,NA,NA,NA,"larry-asante-1",NA,6,"DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Career",126,2,"Nebraska",224,1,NA,NA,NA,NA,NA,74,24.7,NA,NA
"21","Nnamdi Asomugha",73,157,7.43949044585987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nnamdi-asomugha-1",NA,18,"DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"California",NA,3,NA,NA,NA,NA,NA,127,18.1,NA,"Career"
"22","Anthony Averett",2,20,1.6,"Career",NA,27,NA,NA,NA,2,0,NA,NA,"Jun-00",1,0,NA,NA,NA,NA,16,NA,NA,NA,NA,"anthony-averett-1",NA,NA,"DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"Career",71,7,"Alabama",98,NA,NA,185,NA,NA,NA,30,30,NA,NA
"23","Chidobe Awuzie",15,41,5.85365853658537,"Career",NA,53,NA,NA,NA,6,3,NA,NA,"1-Jun",3,0,NA,NA,NA,NA,25,NA,NA,NA,NA,"chidobe-awuzie-1",NA,NA,"DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,"Career",212,25,"Colorado",265,NA,NA,202,NA,NA,NA,40,13.3,NA,NA
"24","Johnson Bademosi",9,120,1.2,"Career",NA,24,NA,NA,NA,2,0,0,NA,"",1,0,NA,NA,NA,NA,15,NA,NA,NA,NA,"johnson-bademosi-1",NA,NA,"DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",98,0.5,"Stanford",122,NA,NA,NA,NA,NA,0,19,19,NA,NA
