"","name","approximate_value","games.x","AVp16","X1","adjusted_yards_per_attempt","assists_on_tackles","completed_passes","extra_points_made","field_goals_made","fumbles_forced","fumbles_recovered","fumbles_recovered_for_touchdown","games.y","height","interceptions","interceptions_returned_for_touchdown","interceptions_thrown","kickoff_return_touchdowns","other_touchdowns","pass_attempts","passes_defended","passing_completion","passing_touchdowns","passing_yards","passing_yards_per_attempt","player_id","plays_from_scrimmage","points","position","punt_return_touchdowns","quarterback_rating","receiving_touchdowns","receiving_yards","receiving_yards_per_reception","receptions","rush_attempts","rush_touchdowns","rush_yards","rush_yards_per_attempt","rushing_and_receiving_touchdowns","sacks","safeties","season","solo_tackles","tackles_for_loss","team_abbreviation","total_tackles","total_touchdowns","two_point_conversions","weight","yards_from_scrimmage","yards_from_scrimmage_per_play","yards_recovered_from_fumble","yards_returned_from_interceptions","yards_returned_per_interception","year","X"
"15","James Anderson",35,123,4.55284552845528,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,"",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"james-anderson-1",NA,6,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"Career",41,8.5,"Virginia Tech",82,1,NA,NA,NA,NA,NA,53,17.7,NA,"Career"
"16","Jonathan Anderson",3,31,1.54838709677419,"Career",NA,64,NA,NA,NA,2,3,0,NA,"3-Jun",1,0,NA,NA,NA,NA,2,NA,NA,NA,NA,"jonathan-anderson-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"Career",106,9,"Texas Christian",170,NA,NA,227,NA,NA,0,0,0,NA,NA
"17","Mark Anderson",23,98,3.75510204081633,NA,NA,17,NA,NA,NA,1,1,0,NA,"",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"mark-anderson-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,"Career",23,14.5,"Alabama",40,NA,NA,NA,NA,NA,0,NA,NA,NA,"Career"
"18","Ryan Anderson",5,43,1.86046511627907,"Career",NA,60,NA,0,0,6,6,NA,NA,"2-Jun",1,1,NA,0,NA,NA,3,NA,NA,NA,NA,"ryan-anderson-1",NA,6,"LB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,"Career",68,39.5,"Alabama",128,1,NA,253,NA,NA,NA,26,26,NA,NA
"19","Stephen Anderson",4,29,2.20689655172414,"Career",NA,117,NA,0,0,6,1,1,NA,"",2,0,NA,0,0,NA,8,NA,NA,NA,NA,"stephen-anderson-1",NA,6,"LB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,0,"Career",171,34,"Army",288,1,0,NA,NA,NA,81,44,22,NA,NA
"20","Zaire Anderson",4,32,2,"Career",NA,82,NA,NA,NA,3,2,0,NA,"11-May",0,0,NA,NA,NA,NA,6,NA,NA,NA,NA,"zaire-anderson-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"Career",77,19,"Nebraska",159,NA,NA,220,NA,NA,0,0,NA,NA,NA
"21","Pat Angerer",18,54,5.33333333333333,"Career",NA,163,NA,NA,NA,0,0,0,NA,"",6,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"pat-angerer-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"Career",95,11.5,"Iowa",258,NA,NA,NA,NA,NA,0,72,12,NA,NA
"22","Ezekiel Ansah",43,91,7.56043956043956,"Career",NA,33,NA,NA,NA,0,0,0,NA,"",1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,"ezekiel-ansah-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,"Career",39,13,"Brigham Young",72,NA,NA,NA,NA,NA,0,-2,-2,NA,NA
"23","Stephone Anthony",11,62,2.83870967741935,"Career",NA,101,NA,NA,NA,5,0,NA,NA,"2-Jun",3,0,NA,NA,NA,NA,7,NA,NA,NA,NA,"stephone-anthony-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,NA,"Career",153,34.5,"Clemson",254,NA,NA,245,NA,NA,NA,8,2.7,NA,NA
"24","Alex Anzalone",6,22,4.36363636363636,"Career",NA,42,NA,NA,NA,0,1,NA,NA,"3-Jun",0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,"alex-anzalone-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"Career",33,5,"Florida",75,NA,NA,240,NA,NA,NA,0,NA,NA,NA
