"","name","approximate_value","games.x","AVp16","X1","adjusted_yards_per_attempt","assists_on_tackles","completed_passes","extra_points_made","field_goals_made","fumbles_forced","fumbles_recovered","fumbles_recovered_for_touchdown","games.y","height","interceptions","interceptions_returned_for_touchdown","interceptions_thrown","kickoff_return_touchdowns","other_touchdowns","pass_attempts","passes_defended","passing_completion","passing_touchdowns","passing_yards","passing_yards_per_attempt","player_id","plays_from_scrimmage","points","position","punt_return_touchdowns","quarterback_rating","receiving_touchdowns","receiving_yards","receiving_yards_per_reception","receptions","rush_attempts","rush_touchdowns","rush_yards","rush_yards_per_attempt","rushing_and_receiving_touchdowns","sacks","safeties","season","solo_tackles","tackles_for_loss","team_abbreviation","total_tackles","total_touchdowns","two_point_conversions","weight","yards_from_scrimmage","yards_from_scrimmage_per_play","yards_recovered_from_fumble","yards_returned_from_interceptions","yards_returned_per_interception","year","X"
"15","Treyvon Hester",3,41,1.17073170731707,"Career",NA,84,NA,NA,NA,4,2,NA,NA,"3-Jun",0,0,NA,NA,NA,NA,4,NA,NA,NA,NA,"treyvon-hester-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,"Career",77,32,"Toledo",161,NA,NA,300,NA,NA,NA,0,NA,NA,NA
"16","Grady Jarrett",34,77,7.06493506493506,"Career",NA,64,NA,NA,NA,2,3,0,NA,"1-Jun",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"grady-jarrett-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,"Career",80,28.5,"Clemson",144,NA,NA,295,NA,NA,0,0,NA,NA,NA
"17","Timmy Jernigan",27,71,6.08450704225352,"Career",NA,65,NA,NA,NA,0,1,0,NA,"2-Jun",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,"timmy-jernigan-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,"Career",73,25,"Florida State",138,NA,NA,294,NA,NA,0,0,NA,NA,NA
"18","Nazair Jones",3,20,2.4,"Career",NA,74,NA,NA,NA,3,3,NA,NA,"5-Jun",2,0,NA,NA,NA,NA,10,NA,NA,NA,NA,"nazair-jones-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"Career",72,22,"North Carolina",146,NA,NA,304,NA,NA,NA,20,10,NA,NA
"19","T.Y. McGill",2,37,0.864864864864865,"Career",NA,26,NA,NA,NA,2,1,NA,NA,"1-Jun",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,"ty-mcgill-2",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"Career",36,13,"North Carolina State",62,NA,NA,289,NA,NA,NA,0,NA,NA,NA
"20","Lorenzo Neal",18,239,1.20502092050209,"Career",NA,20,NA,NA,NA,4,1,NA,NA,"3-Jun",0,0,NA,NA,NA,NA,3,NA,NA,NA,NA,"lorenzo-neal-2",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,"Career",42,11.5,"Purdue",62,NA,NA,315,NA,NA,NA,0,NA,NA,NA
"21","Robert Nkemdiche",6,29,3.31034482758621,"Career",NA,40,NA,0,0,0,0,NA,NA,"4-Jun",0,0,NA,0,NA,NA,3,NA,NA,NA,NA,"robert-nkemdiche-1",10,18,"DT",0,NA,1,31,31,1,9,2,34,3.8,3,6,NA,"Career",41,16,"Ole Miss",81,3,NA,296,65,6.5,NA,0,NA,NA,NA
"22","Derrick Nnadi",11,32,5.5,"Career",NA,90,NA,NA,NA,3,2,NA,NA,"1-Jun",0,0,NA,NA,NA,NA,3,NA,NA,NA,NA,"derrick-nnadi-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,"Career",75,24.5,"Florida State",165,NA,NA,312,NA,NA,NA,0,NA,NA,NA
"23","Tenny Palepoi",4,44,1.45454545454545,"Career",NA,38,NA,NA,NA,1,0,0,NA,"2-Jun",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"tenny-palepoi-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,"Career",36,12.5,"Utah",74,NA,NA,300,NA,NA,0,0,NA,NA,NA
"24","David Parry",13,36,5.77777777777778,"Career",NA,47,NA,NA,NA,0,0,0,NA,"2-Jun",0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,"david-parry-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,"Career",41,15.5,"Stanford",88,NA,NA,300,NA,NA,0,0,NA,NA,NA
"25","Darius Philon",14,54,4.14814814814815,"Career",NA,46,NA,0,0,3,3,1,NA,"3-Jun",0,0,NA,0,0,NA,2,NA,NA,NA,NA,"darius-philon-1",NA,6,"DT",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,"Career",46,20,"Arkansas",92,1,NA,287,NA,NA,14,0,NA,NA,NA
"26","Harrison Phillips",2,19,1.68421052631579,"Career",NA,91,NA,NA,NA,3,2,NA,NA,"4-Jun",0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,"harrison-phillips-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,NA,"Career",62,29,"Stanford",153,NA,NA,295,NA,NA,NA,0,NA,NA,NA
"27","Jordan Phillips",23,76,4.84210526315789,"Career",NA,29,NA,NA,NA,0,1,0,NA,"6-Jun",0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,"jordan-phillips-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,"Career",28,9,"Oklahoma",57,NA,NA,334,NA,NA,0,0,NA,NA,NA
"28","D.J. Reader",24,61,6.29508196721311,"Career",NA,38,NA,NA,NA,0,0,0,NA,"3-Jun",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"dj-reader-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,"Career",34,9,"Clemson",72,NA,NA,325,NA,NA,0,0,NA,NA,NA
"29","Hassan Ridgeway",8,41,3.1219512195122,"Career",NA,46,NA,0,0,0,2,1,NA,"3-Jun",0,0,NA,0,0,NA,0,NA,NA,NA,NA,"hassan-ridgeway-1",NA,6,"DT",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,NA,"Career",62,17.5,"Texas",108,1,NA,314,NA,NA,34,0,NA,NA,NA
"30","Michael Robinson",8,112,1.14285714285714,"Career",NA,1,NA,NA,NA,0,0,NA,NA,"3-Jun",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"michael-robinson-4",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",2,0,"Troy",3,NA,NA,322,NA,NA,NA,0,NA,NA,NA
"31","Deadrin Senat",2,17,1.88235294117647,"Career",NA,74,NA,NA,NA,2,0,NA,NA,"1-Jun",0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,"deadrin-senat-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,"Career",104,23.5,"South Florida",178,NA,NA,305,NA,NA,NA,0,NA,NA,NA
"32","Tim Settle",3,31,1.54838709677419,"Career",NA,25,NA,NA,NA,0,0,NA,NA,"3-Jun",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,"tim-settle-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,"Career",28,19.5,"Virginia Tech",53,NA,NA,335,NA,NA,NA,0,NA,NA,NA
"33","Tanzel Smart",4,31,2.06451612903226,"Career",NA,81,NA,NA,NA,3,2,NA,NA,"1-Jun",0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,"tanzel-smart-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,NA,"Career",102,39.5,"Tulane",183,NA,NA,305,NA,NA,NA,0,NA,NA,NA
"34","Breeland Speaks",3,16,3,"Career",NA,71,NA,NA,NA,1,2,NA,NA,"3-Jun",0,0,NA,NA,NA,NA,3,NA,NA,NA,NA,"breeland-speaks-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,"Career",50,15,"Ole Miss",121,NA,NA,285,NA,NA,NA,0,NA,NA,NA
"35","Shamar Stephen",27,82,5.26829268292683,"Career",NA,75,NA,NA,NA,0,0,0,NA,"5-Jun",0,0,NA,NA,NA,NA,6,NA,NA,NA,NA,"shamar-stephen-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"Career",55,17,"Connecticut",130,NA,NA,313,NA,NA,0,0,NA,NA,NA
"36","Vincent Taylor",3,24,2,"Career",NA,41,NA,NA,NA,2,2,NA,NA,"3-Jun",0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,"vincent-taylor-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,"Career",71,23,"Oklahoma State",112,NA,NA,304,NA,NA,NA,14,NA,NA,NA
"37","Robert Thomas",2,26,1.23076923076923,"Career",NA,43,NA,NA,NA,0,0,0,NA,"3-Jun",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"robert-thomas-2",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,"Career",29,13.5,"Arkansas",72,NA,NA,325,NA,NA,0,0,NA,NA,NA
"38","Josh Tupou",4,23,2.78260869565217,"Career",NA,43,NA,NA,NA,0,1,0,NA,"3-Jun",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"josh-tupou-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,"Career",81,15.5,"Colorado",124,NA,NA,350,NA,NA,0,0,NA,NA,NA
"39","Brent Urban",15,54,4.44444444444444,"Career",NA,49,NA,0,0,2,2,1,NA,"7-Jun",0,0,NA,0,NA,NA,11,NA,NA,NA,NA,"brent-urban-1",NA,6,"DT",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,"Career",26,16,"Virginia",75,1,0,295,NA,NA,16,0,NA,NA,NA
"40","Vincent Valentine",3,16,3,"Career",NA,40,NA,NA,NA,1,0,NA,NA,"3-Jun",0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,"vincent-valentine-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,"Career",36,14.5,"Nebraska",76,NA,NA,320,NA,NA,NA,0,NA,NA,NA
"41","Carlos Watkins",5,26,3.07692307692308,"Career",NA,52,NA,0,0,0,1,0,NA,"3-Jun",1,1,NA,0,NA,NA,7,NA,NA,NA,NA,"carlos-watkins-1",NA,6,"DT",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0,"Career",58,24.5,"Clemson",110,1,0,309,NA,NA,0,15,15,NA,NA
"42","Jamal Williams",80,164,7.80487804878049,"Career",NA,1,NA,NA,NA,0,0,NA,NA,"3-Jun",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"jamal-williams-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0.5,"Western Michigan",2,NA,NA,290,NA,NA,NA,0,NA,NA,NA
"43","Kevin Williams",125,203,9.85221674876847,"Career",NA,37,NA,NA,NA,0,2,0,NA,"2-Jun",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"kevin-williams-6",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"Career",13,8.5,"Overall",50,NA,NA,281,NA,NA,0,0,NA,NA,NA
"44","Antwaun Woods",12,26,7.38461538461539,"Career",NA,63,NA,NA,NA,0,1,0,NA,"1-Jun",0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,"antwaun-woods-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,"Career",48,13.5,"USC",111,NA,NA,320,NA,NA,0,0,NA,NA,NA
"45","Anthony Zettel",10,49,3.26530612244898,"Career",NA,49,NA,0,0,2,2,0,NA,"4-Jun",4,1,NA,0,NA,NA,14,NA,NA,NA,NA,"anthony-zettel-1",NA,6,"DT",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,"Career",70,38,"Penn State",119,1,0,274,NA,NA,0,70,17.5,NA,NA
