,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
Career,6.0,,172,,,,,,,,,,13,,Aaron Gilbert,,369,,46.6,16,2494,6.8,aaron-gilbert-2,95,,QB,,110.6,0.0,11.0,11.0,1.0,94,0,17,0.2,0,,,Career,,,Northern Illinois,,,,,28,0.3,,,,
Career,,11.0,,,,,,,,,13,1,,,Aaron Gipson,,,,,,,,aaron-gipson-1,,6,DB,0.0,,,,,,,,,,,0.0,,Career,31.0,3.5,Oregon,42.0,1,,,,,,156,12.0,
Career,,,,,,,,,,,,,,0.0,Aaron Givens,,,,,,,,aaron-givens-1,,12,WR,0.0,,,,,,,,,,,,,Career,,,UTEP,,2,,,,,,,,
Career,,,,,,,,,,,,,,,Aaron Golliday,,,,,,,,aaron-golliday-1,,12,TE,,,,,,,,,,,,,,Career,,,Nebraska,,2,,,,,,,,
Career,,5,,,,0,0,0,,,,,,,Aaron Gordon,,,0,,,,,aaron-gordon-1,,,DB,,,,,,,,,,,,0.0,,Career,2,0.0,Brigham Young,7,,,,,,0,,,
Career,,,,,,,,,,,,,,,Aaron Granquist,,,,,,,,aaron-granquist-1,17,,RB,,,0.0,19.0,4.8,4.0,13,0,88,6.8,0,,,Career,,,Iowa,,,,,107,6.3,,,,
Career,,,,,,,,,,,,,,,Aaron Greving,,,,,,,,aaron-greving-1,102,42,RB,,,0,1,0.3,3,99,7,453,4.6,7,,,Career,,,Iowa,,7,,,454,4.5,,,,
Career,,,,,,,,,,,,,,0.0,Aaron Halterman,,,,,,,,aaron-halterman-1,,18,TE,,,,,,,,,,,,,,Career,,,Indiana,,3,,,,,,,,
Career,,,,,,,,,,,,,,,Aaron Harris,,,,,,,,aaron-harris-1,,6,WR,,,,,,,,,,,,,,Career,,,East Carolina,,1,,,,,,,,
Career,,47.0,,,,,,,,,2,0,,,Aaron Harris,,,,,,,,aaron-harris-3,,,LB,,,,,,,,,,,,4.0,,Career,38.0,10.5,Texas,85.0,,,,,,,36,18.0,
Career,,,,,,,,,,,,,,0.0,Aaron Harris,,,,,,,,aaron-harris-4,279,126,RB,,,2,331,8.7,38,241,19,1166,4.8,21,,,Career,,,Penn State,,21,,,1497,5.4,,,,
Career,,,,,,,,,,,,,,0.0,Aaron Holly,,,,,,,,aaron-holly-1,55,6,RB,,,0.0,70.0,10.0,7.0,48.0,1.0,184.0,3.8,1,,,Career,,,North Texas,,1,,,254,4.6,,,,
Career,,0.0,,,,,,,,,0,0,,,Aaron Horne,,,,,,,,aaron-horne-1,,,P,,,,,,,,,,,,0.0,,Career,2.0,0.0,UCF,2.0,,,,,,,0,,
Career,,,,,,,,,,,,,,,Aaron Hosack,,,,,,,,aaron-hosack-1,,66,WR,,,,,,,,,,,,,,Career,,,Minnesota,,11,,,,,,,,
Career,,,,155,53,,,,,,,,,,Aaron Hunt,,,,,,,,aaron-hunt-1,,314,K,,,,,,,,,,,,,,Career,,,Clemson,,0,,,,,,,,
Career,,,,0.0,0.0,,2.0,1.0,,,0,0,,0.0,Aaron Hunt,0.0,,,,,,,aaron-hunt-2,1,6,TE,0.0,,0.0,0.0,,0.0,1,0,5,5.0,0,,0.0,Career,,,Texas Tech,,1,0.0,,5,5.0,65.0,0,,
Career,,1.0,,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,,0.0,Aaron Johns,0.0,,0.0,,,,,aaron-johns-1,82,6,RB,0.0,,0,29,4.8,6,76,1,315,4.1,1,0.0,0.0,Career,3.0,0.0,Overall,4.0,1,0.0,,344,4.2,0.0,0.0,,
Career,,17,,,,1,0,0,,,,,,,Aaron Johnson,,,3,,,,,aaron-johnson-2,,,DL,,,,,,,,,,,,4.5,,Career,24,8.0,Washington State,41,,,,,,0,,,
Career,,,,,,,,,,,,,,0.0,Aaron Jones,,,,,,,,aaron-jones-1,,126,WR,,,,,,,,,,,,,,Career,,,Utah State,,21,,,,,,,,
Career,,,,,,,,,,,,,,0.0,Aaron Jones,,,,,,,,aaron-jones-4,,6,TE,,,,,,,,,,,,,,Career,,,San Jose State,,1,,,,,,,,
Career,,2,,,,0,0,0,,,,,,,Aaron Jones,,,0,,,,,aaron-jones-5,,,DL,,,,,,,,,,,,0.0,,Career,1,0.0,Florida State,3,,,,,,0,,,
Career,,,,,,,,,,,3,0,,,Aaron Kampman,,,,,,,,aaron-kampman-1,,,DL,,,,,,,,,,,,,,Career,,,Iowa,,,,,,,,14,4.7,
Career,5.7,,321,,,,,,,,,,25,,Aaron Karas,,543,,59.1,21,3799,7.0,aaron-karas-1,172,18,QB,,121.4,1.0,20.0,20.0,1.0,171,2,-114,-0.7,3,,,Career,,,Baylor,,3,,,-94,-0.5,,,,
Career,,0.0,,,,,,,,,0,0,,0.0,Aaron Kelly,,,,,,,,aaron-kelly-1,,120,WR,0.0,,,,,,,,,,,0.0,,Career,2.0,0.0,Clemson,2.0,20,,,,,,0,,
Career,,,,,,,,,,,1,0,,,Aaron Killion,,,,,,,,aaron-killion-1,,,LB,,,,,,,,,,,,,,Career,,,Colorado,,,,,,,,73,73.0,
Career,0.0,0.0,0.0,,,,,,,,0,0,0.0,,Aaron Knowles,,1.0,,0.0,0.0,0.0,0.0,aaron-knowles-1,,,P,,0.0,,,,,,,,,,0.0,,Career,1.0,0.0,Oregon,1.0,,,,,,,0,,
