,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
Career,,,,,,,,,,,5,1,,,Barrett Green,,,,,,,,barrett-green-1,1,6,LB,,,,,,,1.0,0.0,-6.0,-6.0,0,,,Career,,,West Virginia,,1,,,-6,-6.0,,154,30.8,
Career,28.0,1.0,1.0,43.0,3.0,,,,,,0,0,0.0,,Barrett Pepper,,1.0,,100.0,0.0,28.0,28.0,barrett-pepper-1,2,52,P,,335.2,,,,,2.0,0.0,-20.0,-10.0,0,0.0,,Career,3.0,0.0,Tulane,4.0,0,,,-20,-10.0,,0,,
Career,,,,,,,,1,,,1,1,,,Barrett Ruud,,,,,,,,barrett-ruud-1,,12,LB,,,,,,,,,,,,,,Career,,,Nebraska,,2,,,,,15,27,27.0,
Career,,83,,,,1.0,0.0,0.0,,,1,0,,,Barrett Scruggs,,,1.0,,,,,barrett-scruggs-1,,,LB,,,,,,,,,,,,0.0,,Career,93,7.5,Army,176,,,,,,0.0,20,20.0,
Career,5.0,,45,,,,,,,,,,4,,Barrick Nealy,,84,,53.6,3,542,6.5,barrick-nealy-1,36,12,QB,,110.0,,,,,36,2,190,5.3,2,,,Career,,,Houston,,2,,,190,5.3,,,,
Career,,36.0,,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,,0.0,Barrington Edwards,0.0,,1.0,,,,,barrington-edwards-1,269,24,RB,0.0,,0,203,8.8,23,246,4,896,3.6,4,0.0,0.0,Career,37.0,4.5,Overall,73.0,4,0.0,,1099,4.1,0.0,0.0,,
Career,,,,,,,,,,,,,,,Barry Baker,,,,,,,,barry-baker-1,31,6,RB,,,0.0,12.0,12.0,1.0,30,1,146,4.9,1,,,Career,,,Syracuse,,1,,,158,5.1,,,,
Career,,69,,,,3,0,0,,,,,,,Barry Booker,,,3,,,,,barry-booker-1,,,DL,,,,,,,,,,,,5.5,,Career,42,20.0,Virginia Tech,111,,,,,,0,,,
Career,,39,,,,,,,,,1,0,,,Barry Cofield,,,,,,,,barry-cofield-1,,,DL,,,,,,,,,,,,2.0,,Career,23,6.5,Northwestern,62,,,,,,,16,16.0,
Career,,14,,,,1,0,0,,,,,,,Barry Cryer,,,3,,,,,barry-cryer-1,,,DL,,,,,,,,,,,,4.0,,Career,23,12.5,Nebraska,37,,,,,,0,,,
Career,,42,,,,0.0,0.0,0.0,,,1,0,,,Barry Drakeford,,,2.0,,,,,barry-drakeford-1,,,DB,,,,,,,,,,,,0.0,,Career,37,2.0,Kent State,79,,,,,,0.0,0,0.0,
Career,14.5,,1.0,,,,,,,,,,0.0,,Barry Kunkel,,2.0,,50.0,0.0,29.0,14.5,barry-kunkel-1,1,,WR,,171.8,,,,,1.0,0.0,-5.0,-5.0,0,,,Career,,,Colorado,,,,,-5,-5.0,,,,
Career,6.0,,476,,,,,,,,,,28,,Barry Lunney Jr.,,866,,55.0,33,5782,6.7,barry-lunney-jr-1,320,42,QB,,117.2,0.0,-8.0,-2.7,3.0,317,7,105,0.3,7,,,Career,,,Arkansas,,7,,,97,0.3,,,,
Career,8.0,,1.0,,,,,,,,3,0,0.0,,Barry Odom,,1.0,,100.0,0.0,8.0,8.0,barry-odom-1,1,,LB,,167.2,,,,,1.0,0.0,6.0,6.0,0,,,Career,,,Missouri,,,,,6,6.0,,23,7.7,
Career,,48.0,,,,,,,,,2,0,,,Barry Robertson,,,,,,,,barry-robertson-1,,,LB,,,,,,,,,,,,3.0,,Career,55.0,6.0,Louisiana Tech,103.0,,,,,,,14,7.0,
Career,,,,,,,,,,,,,,,Barry Roche,,,,,,,,barry-roche-1,8,,RB,,,,,,,8,0,35,4.4,0,,,Career,,,Air Force,,,,,35,4.4,,,,
Career,9.5,,1,,,,,,,,,,0,0,Barry Tolli,,4,,25.0,0,38,9.5,barry-tolli-1,,12,WR,,104.8,,,,,,,,,,,,Career,,,Utah State,,2,,,,,,,,
Career,,50,,0.0,0.0,2.0,0.0,0.0,,,0,0,,0.0,Barry Turner,0.0,,7.0,,,,,barry-turner-1,,6,DL,0.0,,,,,,,,,,,17.0,0.0,Career,65,26.5,Nebraska,115,1,0.0,,,,0.0,0,,
Career,,,,,,,,,,,,,,,Bart Battles,,,,,,,,bart-battles-1,6,,LB,,,0,11,5.5,2,4,0,5,1.3,0,,,Career,,,UAB,,,,,16,2.7,,,,
Career,7.9,,650,,,,,,,,,,34,,Bart Hendricks,,1142,,56.9,78,9030,7.9,bart-hendricks-1,351,120,QB,,139.9,0.0,55.0,18.3,3.0,348,20,1009,2.9,20,,,Career,,,Boise State,,20,,,1064,3.0,,,,
Career,4.9,,172,,,,,,,,,,14,,Barton Folse,,329,,52.3,9,2046,6.2,barton-folse-1,118,18,QB,,105.0,,,,,118,3,-13,-0.1,3,,,Career,,,Louisiana,,3,,,-13,-0.1,,,,
Career,0.0,,0.0,,,,,,,,,,0.0,,Bashir Yamini,,1.0,,0.0,0.0,0.0,0.0,bashir-yamini-1,,6,WR,,0.0,,,,,,,,,,,,Career,,,Iowa,,1,,,,,,,,
Career,,,,,,,,,,,,,,0.0,Basil Mitchell,,,,,,,,basil-mitchell-1,590,114,RB,,,5.0,621.0,8.6,72.0,518,14,2783,5.4,19,,,Career,,,Texas Christian,,19,,,3404,5.8,,,,
Career,,,,0,0,,,,,,,,,0,Bayette George,,,,,,,,bayette-george-1,,2,,0,,,,,,,,,,,,1,Career,,,Ball State,,0,0,,,,,,,
Career,,3.0,,,,,,,,,0,0,,0.0,Bear Pascoe,,,,,,,,bear-pascoe-1,,60,TE,,,,,,,,,,,,0.0,,Career,4.0,0.0,Fresno State,7.0,10,,,,,,0,,
Career,,124.0,,0.0,0.0,0.0,1.0,0.0,,,4,1,,0.0,Beau Bell,0.0,,2.0,,,,,beau-bell-1,,6,LB,0.0,,,,,,,,,,,10.5,0.0,Career,170.0,26.0,UNLV,294.0,1,0.0,,,,0.0,13,3.3,
Career,,,,,,,,,,,,,,,Beau Carr,,,,,,,,beau-carr-1,59,24,RB,,,0.0,6.0,6.0,1.0,58,4,165,2.8,4,,,Career,,,Arizona,,4,,,171,2.9,,,,
Career,,2.0,,,,,,,,,0,0,,,Beau Davidson,,,,,,,,beau-davidson-1,,,TE,,,,,,,,,,,,0.0,,Career,5.0,0.0,North Texas,7.0,,,,,,,0,,
Career,-17.7,,2,,,,,,,,,,4,,Beau Davis,,9,,22.2,0,21,2.3,beau-davis-1,1,,QB,,-47.1,,,,,1.0,0.0,-6.0,-6.0,0,,,Career,,,Nebraska,,,,,-6,-6.0,,,,
Career,,39,,,,3,0,0,,,,,,,Beau Manutai,,,2,,,,,beau-manutai-1,,,LB,,,,,,,,,,,,2.0,,Career,65,9.5,Arizona State,104,,,,,,0,,,
Career,,,,,,,,,,,,,,,Beau McCoy,,,,,,,,beau-mccoy-1,3,,KR,,,,,,,3,0,11,3.7,0,,,Career,,,New Mexico State,,,,,11,3.7,,,,
Career,7.0,,226,,,,,,,,,,15,,Beau Morgan,,438,,51.6,25,3248,7.4,beau-morgan-1,594,252,QB,,125.9,,,,,594,42,3379,5.7,42,,,Career,,,Air Force,,42,,,3379,5.7,,,,
Career,2.1,,25,,,,,,,,,,2,,Beau Pierce,,44,,56.8,0,182,4.1,beau-pierce-1,4,6,QB,,82.5,0.0,3.0,3.0,1.0,3,1,6,2.0,1,,,Career,,,San Jose State,,1,,,9,2.3,,,,
Career,,,,,,,,,,,,,,,Beau Shrable,,,,,,,,beau-shrable-1,5,,RB,,,0,1,1.0,1,4,0,6,1.5,0,,,Career,,,Arkansas State,,,,,7,1.4,,,,
Career,,,,,,,,,,,,,,,Beau Stephens,,,,,,,,beau-stephens-1,1,,P,,,,,,,1.0,0.0,16.0,16.0,0,,,Career,,,Texas Christian,,,,,16,16.0,,,,
Career,,,,,,,,,,,,,,0.0,Beau Suder,,,,,,,,beau-suder-1,20,36,RB,,,3.0,143.0,17.9,8.0,12,2,53,4.4,5,,,Career,,,Air Force,,6,,,196,9.8,,,,
Career,1.0,,1.0,,,,,,,,,,0.0,,Beau Trahan,,1.0,,100.0,0.0,1.0,1.0,beau-trahan-1,7,12,QB,0.0,108.4,,,,,7,2,45,6.4,2,,,Career,,,Texas,,2,,,45,6.4,,,,
Career,,,,,,,,,,,1,0,,,Beau Trickey,,,,,,,,beau-trickey-1,,,LB,,,,,,,,,,,,,,Career,,,San Diego State,,,,,,,,0,0.0,
Career,,,,,,,,,,,,,,,Beau Viehmann,,,,,,,,beau-viehmann-1,10,,RB,,,0,-5,-1.3,4,6,0,9,1.5,0,,,Career,,,Missouri,,,,,4,0.4,,,,
Career,,,,,,,,,,,,,,,Beau Williams,,,,,,,,beau-williams-1,,6,TE,,,,,,,,,,,,,,Career,,,Colorado,,1,,,,,,,,
Career,,,,,,,,,,,,,,,Ben Adams,,,,,,,,ben-adams-1,2,,OL,,,,,,,2,0,9,4.5,0,,,Career,,,Texas,,,,,9,4.5,,,,
Career,,,,,,,,,,,,,,,Ben Amis,,,,,,,,ben-amis-1,1,,RB,,,,,,,1,0,1,1.0,0,,,Career,,,Rice,,,,,1,1.0,,,,
Career,,0.0,,,,,,,,,0,0,,,Ben Arndt,,,,,,,,ben-arndt-1,,,P,,,,,,,,,,,,0.0,,Career,1.0,0.0,Georgia Tech,1.0,,,,,,,0,,
Career,,,,,,,,,,,,,,,Ben Bandel,,,,,,,,ben-bandel-1,,6,TE,,,,,,,,,,,,,,Career,,,Washington,,1,,,,,,,,
Career,,,,,,,,,,,,,,,Ben Barkema,,,,,,,,ben-barkema-1,,24,TE,,,,,,,,,,,,,,Career,,,Iowa State,,4,,,,,,,,
Career,3.5,,47,,,,,,,,,,6,,Ben Beach,,95,,49.5,2,561,5.9,ben-beach-1,34,,QB,,93.4,,,,,34,0,-21,-0.6,0,,,Career,,,Louisiana-Monroe,,,,,-21,-0.6,,,,
Career,,,,139,34,,,,,,,,,,Ben Bell,,,,,,,,ben-bell-1,,241,K,,,,,,,,,,,,,,Career,,,Houston,,0,,,,,,,,
Career,0.9,,21,,,,,,,,,,3,,Ben Bowling,,43,,48.8,1,152,3.5,ben-bowling-1,25,6,QB,,72.3,,,,,25,1,60,2.4,1,,,Career,,,Oklahoma State,,1,,,60,2.4,,,,
Career,,,,,,,,,,,,,,,Ben Cahoon,,,,,,,,ben-cahoon-1,,36,WR,0,,,,,,,,,,,,,Career,,,Brigham Young,,6,,,,,,,,
Career,,75,,0,0,0,0,1,,,,,,0,Ben Calderwood,,,0,,,,,ben-calderwood-1,,6,DL,0,,,,,,,,,,,9.0,0,Career,64,21.5,Utah State,139,1,0,,,,0,,,
Career,,0,,,,0,0,0,,,,,,,Ben Carpenter,,,0,,,,,ben-carpenter-1,,,LB,,,,,,,,,,,,0.0,,Career,5,0.0,Colorado,5,,,,,,0,,,
Career,,,,12,7,,,,,,,,,,Ben Chaet,,,,,,,,ben-chaet-1,2,33,K,,,,,,,2,0,4,2.0,0,,,Career,,,Utah State,,0,,,4,2.0,,,,
Career,,15,,,,0,0,0,,,,,,,Ben Childs,,,0,,,,,ben-childs-1,,,DL,,,,,,,,,,,,2.0,,Career,12,3.0,Utah State,27,,,,,,0,,,
Career,,1,,,,,,,,,1,0,,,Ben Chuckovich,,,,,,,,ben-chuckovich-1,,,LB,,,,,,,,,,,,0.0,,Career,0,0.0,Boise State,1,,,,,,,0,0.0,
Career,,,,,,,,,,,1,0,,,Ben Collins,,,,,,,,ben-collins-1,,,LB,,,,,,,,,,,,,,Career,,,West Virginia,,,,,,,,0,0.0,
Career,,,,,,,,,,,,,,,Ben Cornelsen,,,,,,,,ben-cornelsen-1,,6,WR,1,,,,,,,,,,,,,Career,,,Nebraska,,1,,,,,,,,
Career,,,,,,,,,,,,,,,Ben Craddock,,,,,,,,ben-craddock-1,2,,P,,,,,,,2.0,0.0,-2.0,-1.0,0,,,Career,,,Ole Miss,,,,,-2,-1.0,,,,
Career,,25,,,,0,0,0,,,,,,,Ben Eisenhart,,,0,,,,,ben-eisenhart-1,,,DB,,,,,,,,,,,,0.0,,Career,41,2.0,Nebraska,66,,,,,,0,,,
Career,,,,0,0,,,,,,,,,0,Ben Emanuel,,,,,,,,ben-emanuel-1,,2,DB,0,,,,,,,,,,,,0,Career,,,UCLA,,0,1,,,,,,,
Career,20.0,,1.0,,,,,,,,,,0.0,0.0,Ben Erdeljac,,2.0,,50.0,1.0,20.0,10.0,ben-erdeljac-1,,18,WR,0,299.0,,,,,,,,,,,,Career,,,Duke,,3,,,,,,,,
Career,5.6,,110,,,,,,,,,,7,,Ben Fay,,225,,48.9,7,1425,6.3,ben-fay-1,151,36,QB,,106.1,,,,,151.0,6.0,342.0,2.3,6,,,Career,,,Navy,,6,,,342,2.3,,,,
Career,,,,,,,,,,,,,,,Ben Fleming,,,,,,,,ben-fleming-1,,18,WR,,,,,,,,,,,,,,Career,,,South Carolina,,3,,,,,,,,
Career,43.0,,1,,,,,,,,,,0,,Ben Focke,,1,,100.0,1,23,23.0,ben-focke-1,,,TE,,623.2,,,,,,,,,,,,Career,,,Fresno State,,,,,,,,,,
Career,,,,,,,,,,,,,,,Ben Fredrickson,,,,,,,,ben-fredrickson-1,,18,TE,,,,,,,,,,,,,,Career,,,Missouri,,3,,,,,,,,
Career,,0,,,,0,0,0,,,,,,,Ben Gates,,,0,,,,,ben-gates-1,,,OL,,,,,,,,,,,,0.0,,Career,1,0.0,Iowa,1,,,,,,0,,,
Career,,,,,,,,,,,,,,,Ben Goldberg,,,,,,,,ben-goldberg-1,,18,TE,,,,,,,,,,,,,,Career,,,UCF,,3,,,,,,,,
Career,21.0,,1.0,,,,,,,,,,0.0,,Ben Graves,,1.0,,100.0,0.0,21.0,21.0,ben-graves-1,1,,P,,276.4,,,,,1.0,0.0,-13.0,-13.0,0,,,Career,,,Memphis,,,,,-13,-13.0,,,,
Career,,1,,,,0,0,0,,,,,,,Ben Greene,,,0,,,,,ben-greene-1,,,DB,,,,,,,,,,,,0.0,,Career,11,0.0,Tennessee,12,,,,,,0,,,
Career,,0,,,,0,0,0,,,,,,,Ben Grubbs,,,0,,,,,ben-grubbs-1,,,OL,,,,,,,,,,,,0.0,,Career,3,0.0,Auburn,3,,,,,,0,,,
Career,,,,,,,,,,,,,,0.0,Ben Hall,,,,,,,,ben-hall-1,,30,TE,,,,,,,,,,,,,,Career,,,Clemson,,5,,,,,,,,
Career,,,,,,,,,,,,,,,Ben Hartsock,,,,,,,,ben-hartsock-1,,30,TE,,,,,,,,,,,,,,Career,,,Ohio State,,5,,,,,,,,
Career,,,,,,,,,,,1,0,,,Ben Herbert,,,,,,,,ben-herbert-1,,,DL,,,,,,,,,,,,,,Career,,,Wisconsin,,,,,,,,12,12.0,
Career,,10,,,,0.0,0.0,0.0,,,0,0,,,Ben Hixson,,,0.0,,,,,ben-hixson-1,,,LB,,,,,,,,,,,,0.0,,Career,8,0.0,Baylor,18,,,,,,0.0,0,,
Career,,,,,,,,,,,,,,0.0,Ben Horton,,,,,,,,ben-horton-1,,24,WR,,,,,,,,,,,,,,Career,,,Brigham Young,,4,,,,,,,,
Career,,10,,,,1,0,0,,,,,,,Ben Huddle,,,0,,,,,ben-huddle-1,,,DL,,,,,,,,,,,,0.5,,Career,10,3.5,Miami (OH),20,,,,,,0,,,
Career,,11,,,,,,,,,0,0,,,Ben Ishola,,,,,,,,ben-ishola-1,,,DL,,,,,,,,,,,,2.0,,Career,16,6.5,Indiana,27,,,,,,,0,,
Career,,,,125,43,,,,,,,,,,Ben Jones,,,,,,,,ben-jones-1,,254,K,,,,,,,,,,,,,,Career,,,Purdue,,0,,,,,,,,
Career,,,,,,,,,,,11,0,,3,Ben Kelly,,,,,,,,ben-kelly-1,,30,DB,2.0,,,,,,,,,,,,,Career,,,Colorado,,5,,,,,,97,8.8,
Career,,,,,,,,,,,,,,,Ben Kingston,,,,,,,,ben-kingston-1,21,,RB,,,,,,,21,0,44,2.1,0,,,Career,,,Nebraska,,,,,44,2.1,,,,
Career,,,,,,,,,,,,,,,Ben Klusmeyer,,,,,,,,ben-klusmeyer-1,,12,TE,,,,,,,,,,,,,,Career,,,Indiana,,2,,,,,,,,
Career,,14.0,,,,1.0,0.0,0.0,,,1,0,,,Ben Koger,,,1.0,,,,,ben-koger-1,,,DB,,,,,,,,,,,,0.0,,Career,28.0,1.5,Vanderbilt,42.0,,,,,,0.0,0,0.0,
Career,,,,,,,,,,,,,,,Ben Kroft,,,,,,,,ben-kroft-1,2,,P,,,,,,,2.0,0.0,-25.0,-12.5,0,,,Career,,,Central Michigan,,,,,-25,-12.5,,,,
Career,,2,,,,0,0,0,,,,,,,Ben Landgraf,,,0,,,,,ben-landgraf-1,,,LB,,,,,,,,,,,,0.0,,Career,0,0.0,Wisconsin,2,,,,,,0,,,
Career,6.8,,359,,,,,,,,,,18,,Ben Leard,,592,,60.6,28,4289,7.2,ben-leard-1,78,24,QB,,131.0,,,,,78,4,-200,-2.6,4,,,Career,,,Auburn,,4,,,-200,-2.6,,,,
Career,,,,,,,,,,,1,0,,,Ben Leber,,,,,,,,ben-leber-1,,,LB,,,,,,,,,,,,,,Career,,,Kansas State,,,,,,,,4,4.0,
Career,,,,44,4.0,,,,,,,,,,Ben Lewis,,,,,,,,ben-lewis-1,,56,K,,,,,,,,,,,,,,Career,,,Marshall,,0,,,,,,,,
Career,,,,0.0,0.0,,1.0,1.0,,,1,0,,0.0,Ben Mahdavi,0.0,,,,,,,ben-mahdavi-1,,6,LB,0.0,,,,,,,,,,,,0.0,Career,,,Washington,,1,0.0,,,,41.0,0,0.0,
Career,,22,,0.0,0.0,0.0,0.0,0.0,,,3,1,,0.0,Ben Maljovec,0.0,,0.0,,,,,ben-maljovec-1,,6,TE,0.0,,,,,,,,,,,0.0,0.0,Career,33,1.0,Syracuse,55,1,0.0,,,,0.0,79,26.3,
Career,,,,,,,0.0,0.0,,,3,0,,,Ben Martin,,,,,,,,ben-martin-1,1,,DB,,,0.0,0.0,,0.0,1.0,0.0,-1.0,-1.0,0,,,Career,,,Rutgers,,,,,-1,-1.0,0.0,4,1.3,
Career,,,,,,,,,,,1,0,,,Ben Mathews,,,,,,,,ben-mathews-1,,,LB,,,,,,,,,,,,,,Career,,,Navy,,,,,,,,8,8.0,
Career,6.8,,383,0.0,0.0,,,,,,,,19,0.0,Ben Mauk,0.0,659,,58.1,35,4643,7.0,ben-mauk-1,229,30,QB,0.0,129.1,0.0,0.0,,0.0,229,5,720,3.1,5,,0.0,Career,,,Overall,,5,0.0,,720,3.1,,,,
Career,,,,,,,,,,,,,,,Ben McCormick,,,,,,,,ben-mccormick-1,1,,QB,,,,,,,1,0,-5,-5.0,0,,,Career,,,Wisconsin,,,,,-5,-5.0,,,,
Career,3.1,,9,,,,,,,,,,0,,Ben McDaniels,,24,,37.5,0,75,3.1,ben-mcdaniels-1,5,,QB,,63.8,,,,,5,0,1,0.2,0,,,Career,,,Kent State,,,,,1,0.2,,,,
Career,,16,,,,0,0,0,,,,,,,Ben McGrath,,,1,,,,,ben-mcgrath-1,,,LB,,,,,,,,,,,,0.5,,Career,32,4.0,Kentucky,48,,,,,,0,,,
Career,,,,0,0,,1,1,,,,,,0,Ben Meighan,,,,,,,,ben-meighan-1,,6,DB,0,,,,,,,,,,,,0,Career,,,West Virginia,,1,0,,,,36,,,
Career,,,,,,,,,,,,,,,Ben Miller,,,,,,,,ben-miller-1,5,,RB,,,,,,,5,0,14,2.8,0,,,Career,,,North Texas,,,,,14,2.8,,,,
Career,,,,,,,,,,,,,,,Ben Moa,,,,,,,,ben-moa-1,,36,RB,,,,,,,,,,,,,,Career,,,Utah,,6,,,,,,,,
Career,,106,,0.0,0.0,1.0,0.0,0.0,,6-3,4,1,,0.0,Ben Moffitt,0.0,,2.0,,,,,ben-moffitt-1,,6,LB,0.0,,,,,,,,,,,6.0,0.0,Career,173,37.0,South Florida,279,1,0.0,300,,,0.0,136,34.0,
Career,,5,,,,0.0,0.0,0.0,,,0,0,,,Ben Murphy,,,0.0,,,,,ben-murphy-1,,,LB,,,,,,,,,,,,0.0,,Career,9,0.0,Louisiana-Monroe,14,,,,,,0.0,0,,
Career,,0.0,,,,,,,,,0,0,,,Ben Obomanu,,,,,,,,ben-obomanu-1,,120,WR,,,,,,,,,,,,0.0,,Career,1.0,0.0,Auburn,1.0,20,,,,,,0,,
Career,5.9,0.0,152,,,,,,,,0,0,11,,Ben Olson,,275,,55.3,12,1873,6.8,ben-olson-1,40,,QB,,118.9,,,,,40.0,0.0,-131.0,-3.3,0,0.0,,Career,2.0,0.0,UCLA,2.0,,,,-131,-3.3,,0,,
Career,,111,,,,1.0,0.0,0.0,,,3,0,,,Ben Owens,,,2.0,,,,,ben-owens-1,,,LB,,,,,,,,,,,,4.5,,Career,111,12.0,Arkansas State,222,,,,,,0.0,46,15.3,
Career,,0.0,,,,,,,,,0,0,,,Ben Patrick,,,,,,,,ben-patrick-1,,12,TE,,,,,,,,,,,,0.0,,Career,1.0,0.0,Duke,1.0,2,,,,,,0,,
Career,,1,,,,0,0,0,,,,,,,Ben Poynter,,,0,,,,,ben-poynter-1,,,OL,,,,,,,,,,,,0.0,,Career,0,0.0,SMU,1,,,,,,0,,,
Career,8.4,,854,,,,,,,,,,34,,Ben Roethlisberger,,1304,,65.5,84,10829,8.3,ben-roethlisberger-1,269,42,QB,,151.3,,,,,269,7,246,0.9,7,,,Career,,,Miami (OH),,7,,,246,0.9,,,,
Career,,5.0,,,,0.0,0,0,,,,,,,Ben Rothrauff,,,0.0,,,,,ben-rothrauff-1,,,DB,,,,,,,,,,,,0.0,,Career,12.0,0.0,Northwestern,17.0,,,,,,0,,,
Career,,,,,,,,,,,,,,0.0,Ben Ruhlin,,,,,,,,ben-ruhlin-1,22,6,RB,,,,,,,22,1,100,4.5,1,,,Career,,,Akron,,1,,,100,4.5,,,,
Career,7.2,,67,,,,,,,,,,4,,Ben Rutz,,122,,54.9,7,915,7.5,ben-rutz-2,34,,QB,,130.3,,,,,34,0,-33,-1.0,0,,,Career,,,Kansas,,,,,-33,-1.0,,,,
Career,5.8,,238,,,,,,,,,,16,,Ben Sankey,,405,,58.8,15,2750,6.8,ben-sankey-1,219,42,QB,,120.1,,,,,219,7,432,2.0,7,,,Career,,,Wake Forest,,7,,,432,2.0,,,,
Career,,22,,,,0,0,0,,,,,,,Ben Siegert,,,2,,,,,ben-siegert-1,,,DL,,,,,,,,,,,,4.0,,Career,19,8.0,Oregon State,41,,,,,,0,,,
Career,,1.0,,0.0,0.0,0.0,0.0,0.0,,,5,1,,0.0,Ben Stratton,0.0,,0.0,,,,,ben-stratton-1,,6,DB,0.0,,,,,,,,,,,0.0,0.0,Career,5.0,0.0,Colorado State,6.0,1,0.0,,,,0.0,35,7.0,
Career,,25.0,,0.0,0.0,,0.0,0.0,,,1,0,,0.0,Ben Strickland,0.0,,,,,,,ben-strickland-1,,6,DB,1.0,,,,,,,,,,,0.0,0.0,Career,39.0,0.0,Wisconsin,64.0,1,0.0,,,,0.0,21,21.0,
Career,,,,,,,,,,,3,0,,,Ben Taylor,,,,,,,,ben-taylor-1,,,LB,,,,,,,,,,,,,,Career,,,Virginia Tech,,,,,,,,42,14.0,
Career,,,,,,,,,,,,,,,Ben Troupe,,,,,,,,ben-troupe-1,,42,TE,,,,,,,,,,,,,,Career,,,Florida,,7,,,,,,,,
Career,,,,,,,,,,,,,,,Ben Utecht,,,,,,,,ben-utecht-1,,90,TE,,,,,,,,,,,,,,Career,,,Minnesota,,15,,,,,,,,
Career,,,,,,,,,,,,,,,Ben Washington,,,,,,,,ben-washington-1,12,,RB,,,0.0,16.0,16.0,1.0,11,0,45,4.1,0,,,Career,,,Eastern Michigan,,,,,61,5.1,,,,
Career,,,,0,0,,,,,,,,,0,Ben West,,,,,,,,ben-west-1,106,24,RB,0,,0,31,3.9,8,98,4,537,5.5,4,,0,Career,,,Florida International,,4,0,,568,5.4,,,,
Career,,,,,,,,,,,,,,0.0,Ben Wiggins,,,,,,,,ben-wiggins-1,,12,WR,,,,,,,,,,,,,,Career,,,Rice,,2,,,,,,,,
Career,,0.0,,,,,,,,,0,0,,,Ben Woodard,,,,,,,,ben-woodard-1,,12,TE,,,,,,,,,,,,0.0,,Career,2.0,0.0,Washington State,2.0,2,,,,,,0,,
Career,,,,,,,,,,,1,0,,,Ben Woodruff,,,,,,,,ben-woodruff-1,,6,DB,1,,,,,,,,,,,,,Career,,,Army,,1,,,,,,35,35.0,
Career,,0.0,,,,,,,,,0,0,,,Ben Woods,,,,,,,,ben-woods-1,,,P,,,,,,,,,,,,0.0,,Career,3.0,0.0,Buffalo,3.0,,,,,,,0,,
Career,,,,,,,,,,,,,,0.0,Ben Wright,,,,,,,,ben-wright-1,,24,TE,,,,,,,,,,,,,,Career,,,Louisiana-Monroe,,4,,,,,,,,
Career,5.9,,30,,,,,,,,,,3,,Ben Wulf,,67,,44.8,4,449,6.7,ben-wulf-1,75,,QB,,111.8,,,,,75,0,130,1.7,0,,,Career,,,Rice,,,,,130,1.7,,,,
Career,,,,,,,,,,,,,,,Ben Zajicek,,,,,,,,ben-zajicek-1,1,,WR,,,,,,,1,0,-4,-4.0,0,,,Career,,,Nebraska,,,,,-4,-4.0,,,,
Career,,24,,,,1.0,0.0,0.0,,,1,0,,,Bencil Smith,,,2.0,,,,,bencil-smith-1,,,DB,,,,,,,,,,,,1.0,,Career,44,1.0,Rice,68,,,,,,0.0,0,0.0,
Career,,7,,,,0.0,0.0,0.0,,,0,0,,,Benjamin Boyd,,,0.0,,,,,benjamin-boyd-1,,,LB,,,,,,,,,,,,0.0,,Career,15,0.0,Georgia,22,,,,,,0.0,0,,
Career,,32,,0.0,0.0,0.0,0.0,0.0,,,3,1,,0.0,Benjamin Burney,0.0,,10.0,,,,,benjamin-burney-1,,6,DB,0.0,,,,,,,,,,,1.0,0.0,Career,102,5.5,Colorado,134,1,0.0,,,,0.0,94,31.3,
Career,,,,,,,,,,,,,,,Benjamin Watson,,,,,,,,benjamin-watson-1,,42,TE,,,,,,,,,,,,,,Career,,,Overall,,7,,,,,,,,
Career,,1.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,BenJarvus Green-Ellis,0.0,,0.0,,,,,benjarvus-green-ellis-1,959,156,RB,0.0,,1,316,8.1,39,920,25,3869,4.2,26,0.0,0.0,Career,0.0,0.0,Overall,1.0,26,0.0,,4185,4.4,0.0,0.0,,
Career,7.2,,26,,,,,,,,,,2,,Benji Kamrath,,50,,52.0,3,391,7.8,benji-kamrath-1,18,12,QB,,129.5,,,,,18,2,2,0.1,2,,,Career,,,Minnesota,,2,,,2,0.1,,,,
Career,,,,,,,,,,,,,,,Benji Morrow,,,,,,,,benji-morrow-1,58,42,RB,,,0.0,31.0,15.5,2.0,56,7,188,3.4,7,,,Career,,,UAB,,7,,,219,3.8,,,,
